country,year,ae_ton_real
esp,2021,530.23541
esp,2022,494.53507
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,277.95762
swe,2009,270.81562
swe,2010,308.34363
swe,2011,254.38798
swe,2012,224.88247
swe,2013,203.03641
swe,2014,211.2619
swe,2015,203.36607
swe,2016,199.62832
swe,2017,186.71845
swe,2018,182.07819
swe,2019,181.70324
swe,2020,167.96723
swe,2021,167.46126
swe,2022,150.23929
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,220.08096
che,2009,199.91232
che,2010,148.65524
che,2011,118.27835
che,2012,125.08028
che,2013,159.64639
che,2014,155.08331
che,2015,72.44911
che,2016,114.12555
che,2017,143.6223
che,2018,132.97668
che,2019,95.18956
che,2020,128.12797
che,2021,136.31573
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
gbr,1990,
gbr,1991,
gbr,1992,
gbr,1993,
gbr,1994,
gbr,1995,
gbr,1996,
gbr,1997,
gbr,1998,
gbr,1999,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,1035.3
gbr,2009,882.5
gbr,2010,951
gbr,2011,880
gbr,2012,979.8
gbr,2013,993.5
gbr,2014,898.5
gbr,2015,953
gbr,2016,984.2
gbr,2017,963.9
gbr,2018,944.7
gbr,2019,947.5
gbr,2020,864.9
gbr,2021,904.9
gbr,2022,860
gbr,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
eu_three,1993,
eu_three,1994,
eu_three,1995,
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,7414.99598
eu_three,2009,7316.63619
eu_three,2010,7603.03799
eu_three,2011,6954.90063
eu_three,2012,6626.04001
eu_three,2013,6383.30272
eu_three,2014,5227.70496
eu_three,2015,5410.1977
eu_three,2016,6041.54355
eu_three,2017,6269.96922
eu_three,2018,5976.47525
eu_three,2019,5899.39461
eu_three,2020,5569.69752
eu_three,2021,6236.48261
eu_three,2022,5877.21935
eu_three,2023,
