country,year,ae_ton_arts
isl,2019,4.23758
isl,2020,3.57215
isl,2021,2.84208
isl,2022,2.5596
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,147.05821
irl,2009,127.99316
irl,2010,118.75806
irl,2011,85.46757
irl,2012,91.73666
irl,2013,100.62058
irl,2014,93.08284
irl,2015,97.68612
irl,2016,122.05173
irl,2017,101.82208
irl,2018,134.14511
irl,2019,116.62813
irl,2020,113.80344
irl,2021,109.30146
irl,2022,107.26508
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,793.28405
ita,2009,800.0237
ita,2010,763.49556
ita,2011,689.59347
ita,2012,636.28211
ita,2013,655.38055
ita,2014,605.19315
ita,2015,617.47521
ita,2016,659.42304
ita,2017,669.50048
ita,2018,711.6069
ita,2019,706.74976
ita,2020,574.1061
ita,2021,639.81508
ita,2022,692.09961
ita,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,45.81382
lva,2009,25.18609
lva,2010,17.60137
lva,2011,10.92067
lva,2012,11.45079
lva,2013,13.34072
lva,2014,8.65254
lva,2015,10.84761
lva,2016,10.40257
lva,2017,10.45713
lva,2018,11.30989
lva,2019,14.95749
lva,2020,12.54917
lva,2021,9.04948
lva,2022,8.97649
lva,2023,
ltu,1990,
ltu,1991,
ltu,1992,
ltu,1993,
ltu,1994,
ltu,1995,
ltu,1996,
ltu,1997,
ltu,1998,
ltu,1999,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,8.7818
ltu,2009,10.87633
ltu,2010,10.93645
ltu,2011,11.00685
ltu,2012,10.28837
ltu,2013,12.96979
ltu,2014,19.98597
ltu,2015,16.97562
ltu,2016,23.37943
ltu,2017,24.66295
ltu,2018,27.474
ltu,2019,27.78843
ltu,2020,16.77188
ltu,2021,18.92236
ltu,2022,18.71401
ltu,2023,
lux,1990,
lux,1991,
lux,1992,
lux,1993,
lux,1994,
lux,1995,
lux,1996,
lux,1997,
lux,1998,
lux,1999,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,14.88739
lux,2009,12.77289
lux,2010,23.73954
lux,2011,17.09855
lux,2012,22.03099
lux,2013,12.87683
lux,2014,20.08538
lux,2015,18.88538
lux,2016,19.68989
lux,2017,23.52565
lux,2018,26.35325
lux,2019,28.36112
lux,2020,13.27461
lux,2021,15.20234
