country,year,ae_cap_edu
ltu,2019,17.88433
ltu,2020,14.52043
ltu,2021,1.44596
ltu,2022,1.40761
ltu,2023,
lux,1990,
lux,1991,
lux,1992,
lux,1993,
lux,1994,
lux,1995,
lux,1996,
lux,1997,
lux,1998,
lux,1999,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,46.43938
lux,2009,50.6198
lux,2010,71.11944
lux,2011,41.47805
lux,2012,67.94118
lux,2013,73.43241
lux,2014,54.19419
lux,2015,80.67155
lux,2016,103.49253
lux,2017,28.66215
lux,2018,28.6131
lux,2019,30.0083
lux,2020,52.80312
lux,2021,29.03764
lux,2022,24.24134
lux,2023,
mlt,1990,
mlt,1991,
mlt,1992,
mlt,1993,
mlt,1994,
mlt,1995,
mlt,1996,
mlt,1997,
mlt,1998,
mlt,1999,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,5.71808
mlt,2009,5.34007
mlt,2010,5.86332
mlt,2011,5.53931
mlt,2012,5.80785
mlt,2013,5.8491
mlt,2014,6.19669
mlt,2015,5.99461
mlt,2016,6.33184
mlt,2017,6.86451
mlt,2018,7.28371
mlt,2019,7.61797
mlt,2020,6.53816
mlt,2021,6.81222
mlt,2022,6.9202
mlt,2023,
nld,1990,
nld,1991,
nld,1992,
nld,1993,
nld,1994,
nld,1995,
nld,1996,
nld,1997,
nld,1998,
nld,1999,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,43.77639
nld,2009,44.80381
nld,2010,52.80177
nld,2011,36.45684
nld,2012,42.06557
nld,2013,43.73458
nld,2014,33.66752
nld,2015,34.3103
nld,2016,38.86808
nld,2017,34.94506
nld,2018,36.2333
nld,2019,34.16924
nld,2020,30.96957
nld,2021,35.19084
nld,2022,30.58332
nld,2023,
nor,1990,
nor,1991,
nor,1992,
nor,1993,
nor,1994,
nor,1995,
nor,1996,
nor,1997,
nor,1998,
nor,1999,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,4.11601
nor,2009,5.1767
nor,2010,7.29806
nor,2011,5.76952
nor,2012,6.26162
nor,2013,5.86435
nor,2014,5.46047
nor,2015,5.43985
nor,2016,6.0657
nor,2017,5.00075
nor,2018,4.76992
nor,2019,4.19576
nor,2020,3.77668
nor,2021,10.60041
nor,2022,10.33958
nor,2023,
pol,1990,
pol,1991,
pol,1992,
pol,1993,
pol,1994,
pol,1995,
pol,1996,
pol,1997,
pol,1998,
pol,1999,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,35.45911
pol,2009,37.77279
pol,2010,42.26044
pol,2011,39.07683
pol,2012,37.70238
pol,2013,35.03343
pol,2014,31.77071
pol,2015,32.1589
pol,2016,38.83228
pol,2017,33.52567
pol,2018,30.98087
pol,2019,29.27641
pol,2020,27.06628
pol,2021,33.5125
pol,2022,33.1085
pol,2023,
prt,1990,
prt,1991,
prt,1992,
prt,1993,
prt,1994,
prt,1995,
prt,1996,
prt,1997,
prt,1998,
prt,1999,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,9.21519
prt,2009,10.68699
prt,2010,9.33044
prt,2011,8.53988
prt,2012,7.49196
prt,2013,8.34324
prt,2014,7.71073
prt,2015,7.27201
prt,2016,7.92575
prt,2017,7.29124
prt,2018,7.10281
prt,2019,7.41116
prt,2020,7.06801
prt,2021,6.44324
prt,2022,6.19359
prt,2023,
rou,1990,
rou,1991,
rou,1992,
rou,1993,
rou,1994,
rou,1995,
rou,1996,
rou,1997,
rou,1998,
rou,1999,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,12.51344
rou,2009,12.40209
rou,2010,12.45687
rou,2011,11.94263
rou,2012,11.90937
rou,2013,12.00694
rou,2014,12.21617
rou,2015,12.33742
rou,2016,12.95598
rou,2017,14.06226
rou,2018,14.44133
rou,2019,14.61722
rou,2020,14.014
rou,2021,15.1188
rou,2022,14.49724
rou,2023,
srb,1990,
srb,1991,
srb,1992,
srb,1993,
srb,1994,
srb,1995,
srb,1996,
srb,1997,
srb,1998,
srb,1999,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,
srb,2009,
srb,2010,
srb,2011,
srb,2012,
srb,2013,
srb,2014,
srb,2015,
srb,2016,
srb,2017,
srb,2018,
srb,2019,
srb,2020,
srb,2021,
srb,2022,
srb,2023,
svk,1990,
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,25.31185
svk,2009,25.75531
svk,2010,27.62124
svk,2011,23.13896
svk,2012,23.8595
svk,2013,24.81757
svk,2014,20.83568
svk,2015,20.23918
svk,2016,21.14725
svk,2017,22.55805
svk,2018,22.17514
svk,2019,22.49125
svk,2020,22.67257
svk,2021,26.05071
svk,2022,25.13971
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,62.96287
svn,2009,63.7291
svn,2010,59.28936
svn,2011,53.22878
svn,2012,43.00974
svn,2013,47.55219
svn,2014,42.63492
svn,2015,47.01688
svn,2016,53.73045
svn,2017,46.99617
svn,2018,41.71642
svn,2019,40.62283
svn,2020,39.07471
svn,2021,34.26417
svn,2022,36.70091
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
esp,1994,
esp,1995,
esp,1996,
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,11.58733
esp,2009,12.13372
esp,2010,14.04086
esp,2011,13.75166
esp,2012,12.40991
esp,2013,11.031
esp,2014,10.82852
esp,2015,10.57687
esp,2016,10.95392
esp,2017,11.25039
esp,2018,11.49516
esp,2019,11.38274
esp,2020,10.3734
esp,2021,11.40219
