country,year,ae_cap_def
lva,2009,58.47862
lva,2010,70.68147
lva,2011,64.3759
lva,2012,58.59068
lva,2013,51.95656
lva,2014,54.41907
lva,2015,55.4594
lva,2016,59.04756
lva,2017,57.79751
lva,2018,65.93223
lva,2019,72.22018
lva,2020,55.81703
lva,2021,57.10648
lva,2022,57.58198
lva,2023,
ltu,1990,
ltu,1991,
ltu,1992,
ltu,1993,
ltu,1994,
ltu,1995,
ltu,1996,
ltu,1997,
ltu,1998,
ltu,1999,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,17.68725
ltu,2009,19.26406
ltu,2010,22.51997
ltu,2011,22.45064
ltu,2012,18.30982
ltu,2013,22.54176
ltu,2014,33.10017
ltu,2015,46.24763
ltu,2016,49.83512
ltu,2017,53.24051
ltu,2018,58.91523
ltu,2019,52.24063
ltu,2020,35.83573
ltu,2021,14.89295
ltu,2022,14.75332
ltu,2023,
lux,1990,
lux,1991,
lux,1992,
lux,1993,
lux,1994,
lux,1995,
lux,1996,
lux,1997,
lux,1998,
lux,1999,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,45.94353
lux,2009,41.45756
lux,2010,63.74102
lux,2011,49.93134
lux,2012,56.69146
lux,2013,69.09719
lux,2014,49.20414
lux,2015,50.36428
lux,2016,60.00698
lux,2017,78.95499
lux,2018,74.14771
lux,2019,85.6976
lux,2020,33.55326
lux,2021,80.2965
lux,2022,66.99576
lux,2023,
mlt,1990,
mlt,1991,
mlt,1992,
mlt,1993,
mlt,1994,
mlt,1995,
mlt,1996,
mlt,1997,
mlt,1998,
mlt,1999,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,26.90088
mlt,2009,25.87581
mlt,2010,27.55477
mlt,2011,28.69858
mlt,2012,27.54843
mlt,2013,28.42646
mlt,2014,31.56605
mlt,2015,32.12831
mlt,2016,30.75836
mlt,2017,27.74536
mlt,2018,27.75801
mlt,2019,27.13116
mlt,2020,24.66735
mlt,2021,23.32148
mlt,2022,18.3131
mlt,2023,
nld,1990,
nld,1991,
nld,1992,
nld,1993,
nld,1994,
nld,1995,
nld,1996,
nld,1997,
nld,1998,
nld,1999,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,134.60088
nld,2009,134.25872
nld,2010,134.05053
nld,2011,121.74513
nld,2012,124.88941
nld,2013,112.58979
nld,2014,104.57533
nld,2015,104.6486
nld,2016,102.55775
nld,2017,103.14623
nld,2018,96.29066
nld,2019,94.34252
nld,2020,88.70515
nld,2021,89.38117
nld,2022,83.61318
nld,2023,
nor,1990,
nor,1991,
nor,1992,
nor,1993,
nor,1994,
nor,1995,
nor,1996,
nor,1997,
nor,1998,
nor,1999,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,102.13948
nor,2009,127.21821
nor,2010,93.97316
nor,2011,88.53686
nor,2012,77.93093
nor,2013,83.12331
nor,2014,73.81709
nor,2015,57.98861
nor,2016,56.9921
nor,2017,55.98895
nor,2018,46.18737
nor,2019,38.82352
nor,2020,33.07609
nor,2021,35.13669
nor,2022,31.42255
nor,2023,
pol,1990,
pol,1991,
pol,1992,
pol,1993,
pol,1994,
pol,1995,
pol,1996,
pol,1997,
pol,1998,
pol,1999,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,50.76599
pol,2009,54.0402
pol,2010,59.72504
pol,2011,56.24911
pol,2012,54.15187
pol,2013,50.54686
pol,2014,48.81724
pol,2015,50.43095
pol,2016,119.20359
pol,2017,125.41723
pol,2018,102.50517
pol,2019,95.5309
pol,2020,89.66601
pol,2021,108.18339
pol,2022,104.16017
pol,2023,
prt,1990,
prt,1991,
prt,1992,
prt,1993,
prt,1994,
prt,1995,
prt,1996,
prt,1997,
prt,1998,
prt,1999,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,63.10914
prt,2009,71.56366
prt,2010,65.4888
prt,2011,57.95242
prt,2012,54.98384
prt,2013,57.55425
prt,2014,61.64835
prt,2015,63.08067
prt,2016,60.34048
prt,2017,57.72478
prt,2018,61.16988
prt,2019,59.82971
prt,2020,65.15168
prt,2021,61.41767
prt,2022,59.87262
prt,2023,
rou,1990,
rou,1991,
rou,1992,
rou,1993,
rou,1994,
rou,1995,
rou,1996,
rou,1997,
rou,1998,
rou,1999,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,22.92216
rou,2009,22.46554
rou,2010,21.38139
rou,2011,20.4159
rou,2012,20.67386
rou,2013,20.15924
rou,2014,20.68932
rou,2015,20.76252
rou,2016,21.93006
rou,2017,23.3067
rou,2018,23.96727
rou,2019,24.22719
rou,2020,23.27074
rou,2021,25.10579
rou,2022,23.79446
rou,2023,
srb,1990,
srb,1991,
srb,1992,
srb,1993,
srb,1994,
srb,1995,
srb,1996,
srb,1997,
srb,1998,
srb,1999,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,
srb,2009,
srb,2010,
srb,2011,
srb,2012,
srb,2013,
srb,2014,
srb,2015,
srb,2016,
srb,2017,
srb,2018,
srb,2019,
srb,2020,
srb,2021,
srb,2022,
srb,2023,
svk,1990,
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,71.43607
svk,2009,73.95752
svk,2010,80.23
svk,2011,65.2664
svk,2012,67.46023
svk,2013,70.06753
svk,2014,57.88919
svk,2015,57.3269
svk,2016,56.30732
svk,2017,57.99144
svk,2018,47.1745
svk,2019,40.76842
svk,2020,30.36925
svk,2021,47.68481
svk,2022,45.842
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,11.665
svn,2009,8.63564
svn,2010,9.14427
svn,2011,8.16019
svn,2012,7.57538
svn,2013,7.73539
svn,2014,27.80216
svn,2015,30.64353
svn,2016,34.94151
svn,2017,31.34327
svn,2018,28.79886
svn,2019,27.07606
svn,2020,37.99156
svn,2021,33.01956
svn,2022,33.90081
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
esp,1994,
esp,1995,
esp,1996,
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
