country,year,ae_ton_const
nor,2018,2343.82392
nor,2019,2175.30916
nor,2020,2004.50293
nor,2021,2166.81461
nor,2022,2137.76677
nor,2023,
pol,1990,
pol,1991,
pol,1992,
pol,1993,
pol,1994,
pol,1995,
pol,1996,
pol,1997,
pol,1998,
pol,1999,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,1186.07644
pol,2009,1264.19612
pol,2010,1165.86009
pol,2011,1222.44967
pol,2012,1081.64771
pol,2013,869.83827
pol,2014,799.20095
pol,2015,665.35877
pol,2016,741.99103
pol,2017,928.67069
pol,2018,936.00748
pol,2019,846.92147
pol,2020,847.81024
pol,2021,874.35899
pol,2022,845.15109
pol,2023,
prt,1990,
prt,1991,
prt,1992,
prt,1993,
prt,1994,
prt,1995,
prt,1996,
prt,1997,
prt,1998,
prt,1999,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,1914.2372
prt,2009,1858.9367
prt,2010,1888.6116
prt,2011,1778.2464
prt,2012,1400.3707
prt,2013,1156.4854
prt,2014,1127.5368
prt,2015,1296.1401
prt,2016,1252.354
prt,2017,1339.6342
prt,2018,1349.6839
prt,2019,1361.2284
prt,2020,1324.9197
prt,2021,1463.6857
prt,2022,1407.18054
prt,2023,
rou,1990,
rou,1991,
rou,1992,
rou,1993,
rou,1994,
rou,1995,
rou,1996,
rou,1997,
rou,1998,
rou,1999,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,3832.61061
rou,2009,2747.57199
rou,2010,2844.47739
rou,2011,3171.26953
rou,2012,3363.4703
rou,2013,3223.68757
rou,2014,3110.13791
rou,2015,3202.3779
rou,2016,3009.75844
rou,2017,3046.50828
rou,2018,3090.76169
rou,2019,2909.129
rou,2020,2881.43135
rou,2021,2975.11607
rou,2022,2792.51925
rou,2023,
srb,1990,
srb,1991,
srb,1992,
srb,1993,
srb,1994,
srb,1995,
srb,1996,
srb,1997,
srb,1998,
srb,1999,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,
srb,2009,
srb,2010,
srb,2011,
srb,2012,
srb,2013,
srb,2014,
srb,2015,
srb,2016,
srb,2017,
srb,2018,
srb,2019,
srb,2020,
srb,2021,
srb,2022,
srb,2023,
svk,1990,
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,2769.48863
svk,2009,2110.89965
svk,2010,1895.26125
svk,2011,2190.70247
svk,2012,1950.07425
svk,2013,1831.96926
svk,2014,1812.58349
svk,2015,1643.30662
svk,2016,1655.19088
svk,2017,1734.00248
svk,2018,1710.76734
svk,2019,1623.30754
svk,2020,1923.06565
svk,2021,2031.29126
svk,2022,1861.71433
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,539.99502
svn,2009,477.00093
svn,2010,464.646
svn,2011,443.62732
svn,2012,438.08575
svn,2013,418.61092
svn,2014,417.70351
svn,2015,444.14597
svn,2016,453.75172
svn,2017,497.27396
svn,2018,545.44088
svn,2019,570.24284
svn,2020,570.03578
svn,2021,599.92318
svn,2022,594.55257
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
esp,1994,
esp,1995,
esp,1996,
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,3491.53374
esp,2009,3014.04907
esp,2010,2889.65585
esp,2011,2482.5683
esp,2012,2535.90199
esp,2013,2231.77462
esp,2014,2005.57643
esp,2015,1415.98983
esp,2016,1600.44865
esp,2017,1585.83671
esp,2018,1735.03932
esp,2019,1943.61402
esp,2020,1380.36515
esp,2021,1622.82377
esp,2022,1394.7828
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,1944.77147
swe,2009,1903.87849
swe,2010,2001.85379
swe,2011,2022.17637
swe,2012,1967.45944
swe,2013,1946.65387
swe,2014,1885.93422
swe,2015,1943.49558
swe,2016,1955.3564
swe,2017,1865.27369
swe,2018,1837.15064
swe,2019,1916.2889
swe,2020,1888.29388
swe,2021,1971.79464
swe,2022,1722.61586
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,1315.3518
che,2009,1331.20042
che,2010,1348.49951
che,2011,1316.35978
che,2012,1361.55798
che,2013,1366.5756
che,2014,1295.95253
che,2015,1264.19146
che,2016,1232.36333
