country,year,imp_total
abw,1996,
abw,1997,
abw,1998,
abw,1999,
abw,2000,
abw,2001,
abw,2002,
abw,2003,
abw,2004,
abw,2005,
abw,2006,
abw,2007,
abw,2008,17043
abw,2009,4
abw,2010,1137
abw,2011,101
abw,2012,4
abw,2013,7
abw,2014,11
abw,2015,30
abw,2016,1993
abw,2017,3080
abw,2018,72
abw,2019,506
abw,2020,134
abw,2021,84
abw,2022,259
abw,2023,10
aus,1990,
aus,1991,
aus,1992,
aus,1993,
aus,1994,
aus,1995,
aus,1996,
aus,1997,
aus,1998,
aus,1999,
aus,2000,
aus,2001,
aus,2002,
aus,2003,
aus,2004,
aus,2005,
aus,2006,
aus,2007,
aus,2008,3774419
aus,2009,2599316
aus,2010,3728866
aus,2011,3195055
aus,2012,2221789
aus,2013,2418339
aus,2014,2068078
aus,2015,2238821
aus,2016,2483465
aus,2017,2668524
aus,2018,3093921
aus,2019,3724473
aus,2020,2439593
aus,2021,2433665
aus,2022,6703520
aus,2023,8157180
aze,1990,
aze,1991,
aze,1992,
aze,1993,
aze,1994,
aze,1995,
aze,1996,
aze,1997,
aze,1998,
aze,1999,
aze,2000,
aze,2001,
aze,2002,
aze,2003,
aze,2004,
aze,2005,
aze,2006,
aze,2007,
aze,2008,463107
aze,2009,30564
aze,2010,153889
aze,2011,1704
aze,2012,118235
aze,2013,107232
aze,2014,705
aze,2015,7645
aze,2016,5041
aze,2017,5981
aze,2018,6942
aze,2019,3716
aze,2020,6418
aze,2021,4710
aze,2022,2021
aze,2023,4384
bhs,1990,
bhs,1991,
bhs,1992,
bhs,1993,
bhs,1994,
bhs,1995,
bhs,1996,
bhs,1997,
bhs,1998,
bhs,1999,
bhs,2000,
bhs,2001,
bhs,2002,
bhs,2003,
bhs,2004,
bhs,2005,
bhs,2006,
bhs,2007,
bhs,2008,411
bhs,2009,4002
bhs,2010,642
bhs,2011,378
bhs,2012,3250
bhs,2013,19838
bhs,2014,633
bhs,2015,783
bhs,2016,2050
bhs,2017,41700
bhs,2018,14089
bhs,2019,484
bhs,2020,1376
bhs,2021,281
bhs,2022,8043
bhs,2023,241
bhr,1990,
bhr,1991,
bhr,1992,
bhr,1993,
bhr,1994,
bhr,1995,
bhr,1996,
bhr,1997,
bhr,1998,
bhr,1999,
bhr,2000,
bhr,2001,
bhr,2002,
bhr,2003,
bhr,2004,
bhr,2005,
bhr,2006,
bhr,2007,
bhr,2008,6135
bhr,2009,59599
bhr,2010,123284
bhr,2011,3038
bhr,2012,152236
bhr,2013,32232
bhr,2014,24779
bhr,2015,9137
bhr,2016,9338
bhr,2017,11038
bhr,2018,9845
bhr,2019,11505
bhr,2020,15665
bhr,2021,93385
bhr,2022,129286
bhr,2023,170374
bgd,1990,
bgd,1991,
bgd,1992,
bgd,1993,
bgd,1994,
bgd,1995,
bgd,1996,
bgd,1997,
bgd,1998,
bgd,1999,
bgd,2000,
bgd,2001,
bgd,2002,
bgd,2003,
bgd,2004,
bgd,2005,
bgd,2006,
bgd,2007,
bgd,2008,1398902
bgd,2009,1594747
bgd,2010,1762895
bgd,2011,2203714
bgd,2012,2303670
bgd,2013,2494264
bgd,2014,2655598
bgd,2015,3545706
bgd,2016,3914265
bgd,2017,4162547
bgd,2018,4661909
bgd,2019,5607877
bgd,2020,4662391
bgd,2021,5183221
bgd,2022,8074920
bgd,2023,6351326
brb,1990,
brb,1991,
brb,1992,
brb,1993,
brb,1994,
brb,1995,
brb,1996,
brb,1997,
brb,1998,
brb,1999,
brb,2000,
brb,2001,
brb,2002,
brb,2003,
brb,2004,
brb,2005,
brb,2006,
brb,2007,
brb,2008,338
brb,2009,4855
brb,2010,22680
brb,2011,1980
brb,2012,4440
brb,2013,3598
brb,2014,977
brb,2015,1081
brb,2016,4172
brb,2017,8537
brb,2018,3103
brb,2019,616
brb,2020,37
brb,2021,497
brb,2022,1491
brb,2023,17377
blr,1990,
blr,1991,
blr,1992,
blr,1993,
blr,1994,
blr,1995,
blr,1996,
blr,1997,
blr,1998,
blr,1999,
blr,2000,
blr,2001,
blr,2002,
blr,2003,
blr,2004,
blr,2005,
blr,2006,
blr,2007,
blr,2008,668888
blr,2009,475554
blr,2010,549556
blr,2011,2178505
blr,2012,495465
blr,2013,432473
blr,2014,370909
blr,2015,435974
blr,2016,309603
blr,2017,230763
blr,2018,329246
blr,2019,332009
blr,2020,293679
blr,2021,478716
blr,2022,94127
blr,2023,3535
bel,1990,
bel,1991,
bel,1992,
bel,1993,
bel,1994,
bel,1995,
bel,1996,
bel,1997,
bel,1998,
bel,1999,
bel,2000,
bel,2001,
bel,2002,
bel,2003,
bel,2004,
bel,2005,
bel,2006,
bel,2007,
bel,2008,42621993
bel,2009,35396414
bel,2010,41485761
bel,2011,44489228
bel,2012,42422598
bel,2013,40922337
bel,2014,43927240
bel,2015,50616278
bel,2016,57272555
bel,2017,64763609
bel,2018,62704403
bel,2019,65673742
bel,2020,63636681
bel,2021,71940508
bel,2022,98354150
bel,2023,106139536
blz,1990,
blz,1991,
blz,1992,
blz,1993,
blz,1994,
blz,1995,
blz,1996,
blz,1997,
blz,1998,
blz,1999,
blz,2000,
blz,2001,
blz,2002,
blz,2003,
blz,2004,
blz,2005,
blz,2006,
blz,2007,
blz,2008,1180
blz,2009,74
blz,2010,177
blz,2011,28
blz,2012,17
blz,2013,2
blz,2014,482
blz,2015,300
blz,2016,1362
blz,2017,460
blz,2018,912
blz,2019,1522
blz,2020,5318
blz,2021,5212
blz,2022,23131
blz,2023,6443
ben,1990,
ben,1991,
ben,1992,
ben,1993,
ben,1994,
ben,1995,
ben,1996,
ben,1997,
ben,1998,
ben,1999,
ben,2000,
ben,2001,
ben,2002,
ben,2003,
ben,2004,
ben,2005,
ben,2006,
ben,2007,
ben,2008,538
ben,2009,111
ben,2010,501
ben,2011,316
ben,2012,35
ben,2013,1076
ben,2014,488
ben,2015,365
ben,2016,1175
ben,2017,37
ben,2018,7
ben,2019,85
ben,2020,284
ben,2021,914
ben,2022,981
ben,2023,397
bmu,1990,
bmu,1991,
bmu,1992,
bmu,1993,
bmu,1994,
bmu,1995,
bmu,1996,
bmu,1997,
bmu,1998,
bmu,1999,
bmu,2000,
bmu,2001,
bmu,2002,
bmu,2003,
bmu,2004,
bmu,2005,
bmu,2006,
bmu,2007,
bmu,2008,3261
bmu,2009,1486
bmu,2010,28765
bmu,2011,422
bmu,2012,540
bmu,2013,264
bmu,2014,12292
bmu,2015,16324
bmu,2016,18382
bmu,2017,5177
bmu,2018,30525
bmu,2019,91
bmu,2020,226
bmu,2021,1322
bmu,2022,29
bmu,2023,522
btn,1990,
btn,1991,
btn,1992,
btn,1993,
btn,1994,
btn,1995,
btn,1996,
btn,1997,
btn,1998,
btn,1999,
btn,2000,
btn,2001,
btn,2002,
btn,2003,
btn,2004,
btn,2005,
btn,2006,
btn,2007,
btn,2008,479
btn,2009,9
btn,2010,5
btn,2011,0
btn,2012,5
btn,2013,33
btn,2014,2
btn,2015,9
btn,2016,1
btn,2017,130
btn,2018,276
btn,2019,111
btn,2020,31
btn,2021,23
btn,2022,28
btn,2023,11
bol,1990,
bol,1991,
bol,1992,
bol,1993,
bol,1994,
bol,1995,
bol,1996,
bol,1997,
bol,1998,
bol,1999,
bol,2000,
bol,2001,
bol,2002,
bol,2003,
bol,2004,
bol,2005,
bol,2006,
bol,2007,
bol,2008,7975
bol,2009,6356
bol,2010,6350
bol,2011,7828
bol,2012,16348
bol,2013,8623
bol,2014,13831
bol,2015,23383
bol,2016,10422
bol,2017,10732
bol,2018,10049
bol,2019,7940
bol,2020,8975
bol,2021,12719
bol,2022,12826
bol,2023,7091
bih,1990,
bih,1991,
bih,1992,
bih,1993,
bih,1994,
bih,1995,
bih,1996,
bih,1997,
bih,1998,
bih,1999,
bih,2000,
bih,2001,
bih,2002,
bih,2003,
bih,2004,
bih,2005,
bih,2006,
bih,2007,
bih,2008,224452
bih,2009,182598
bih,2010,188188
bih,2011,258387
bih,2012,220738
bih,2013,312320
bih,2014,347718
bih,2015,362687
bih,2016,427037
bih,2017,466864
bih,2018,514255
bih,2019,460443
bih,2020,428641
bih,2021,463875
bih,2022,595543
bih,2023,556716
bwa,1990,
bwa,1991,
bwa,1992,
bwa,1993,
bwa,1994,
bwa,1995,
bwa,1996,
bwa,1997,
bwa,1998,
bwa,1999,
bwa,2000,
bwa,2001,
bwa,2002,
bwa,2003,
bwa,2004,
bwa,2005,
bwa,2006,
bwa,2007,
bwa,2008,121
bwa,2009,561
bwa,2010,718
bwa,2011,541
bwa,2012,455
bwa,2013,408
bwa,2014,239
bwa,2015,187
bwa,2016,217
bwa,2017,1095
bwa,2018,122
bwa,2019,52
bwa,2020,50
bwa,2021,248
bwa,2022,35
bwa,2023,10
bouisl,1990,
bouisl,1991,
bouisl,1992,
bouisl,1993,
bouisl,1994,
bouisl,1995,
bouisl,1996,
bouisl,1997,
bouisl,1998,
bouisl,1999,
bouisl,2000,
bouisl,2001,
bouisl,2002,
bouisl,2003,
bouisl,2004,
bouisl,2005,
bouisl,2006,
bouisl,2007,
bouisl,2008,506
bouisl,2009,0
bouisl,2010,0
bouisl,2011,0
bouisl,2012,0
bouisl,2013,0
bouisl,2014,0
bouisl,2015,1301
bouisl,2016,5
bouisl,2017,21
bouisl,2018,0
bouisl,2019,0
bouisl,2020,0
bouisl,2021,0
bouisl,2022,0
bouisl,2023,0
bra,1990,
bra,1991,
bra,1992,
bra,1993,
bra,1994,
bra,1995,
bra,1996,
bra,1997,
bra,1998,
bra,1999,
bra,2000,
bra,2001,
bra,2002,
bra,2003,
bra,2004,
bra,2005,
bra,2006,
bra,2007,
bra,2008,5708961
bra,2009,3756835
bra,2010,3612456
bra,2011,4678866
bra,2012,4148703
bra,2013,3492182
bra,2014,4098248
bra,2015,5077939
bra,2016,4458047
bra,2017,4564057
bra,2018,5521058
bra,2019,4238236
bra,2020,3684657
bra,2021,6155166
bra,2022,9746032
bra,2023,10110719
iot,1990,
iot,1991,
iot,1992,
iot,1993,
iot,1994,
iot,1995,
iot,1996,
iot,1997,
iot,1998,
iot,1999,
iot,2000,
iot,2001,
iot,2002,
iot,2003,
iot,2004,
iot,2005,
iot,2006,
iot,2007,
iot,2008,0
iot,2009,0
iot,2010,0
iot,2011,53
iot,2012,40
iot,2013,27
iot,2014,0
iot,2015,0
iot,2016,1397
iot,2017,2060
iot,2018,3206
iot,2019,182
iot,2020,0
iot,2021,27
iot,2022,0
iot,2023,0
vgb,1990,
vgb,1991,
vgb,1992,
vgb,1993,
vgb,1994,
vgb,1995,
vgb,1996,
vgb,1997,
vgb,1998,
vgb,1999,
vgb,2000,
vgb,2001,
vgb,2002,
vgb,2003,
vgb,2004,
vgb,2005,
vgb,2006,
vgb,2007,
vgb,2008,1653
vgb,2009,2040
vgb,2010,31791
vgb,2011,14501
vgb,2012,4718
vgb,2013,8056
vgb,2014,19223
vgb,2015,36281
vgb,2016,16105
vgb,2017,24460
vgb,2018,17850
vgb,2019,38512
vgb,2020,56156
vgb,2021,38167
vgb,2022,33181
vgb,2023,40652
brn,1990,
brn,1991,
brn,1992,
brn,1993,
brn,1994,
brn,1995,
brn,1996,
brn,1997,
brn,1998,
brn,1999,
brn,2000,
brn,2001,
brn,2002,
brn,2003,
brn,2004,
brn,2005,
brn,2006,
brn,2007,
brn,2008,476
brn,2009,651
brn,2010,38
brn,2011,1087
brn,2012,664
brn,2013,770
brn,2014,2227
brn,2015,563
brn,2016,1918
brn,2017,5051
brn,2018,236
brn,2019,16
brn,2020,10
brn,2021,434
brn,2022,1509
brn,2023,2337
bgr,1990,
bgr,1991,
bgr,1992,
bgr,1993,
bgr,1994,
bgr,1995,
bgr,1996,
bgr,1997,
bgr,1998,
bgr,1999,
bgr,2000,
bgr,2001,
bgr,2002,
bgr,2003,
bgr,2004,
bgr,2005,
bgr,2006,
bgr,2007,
bgr,2008,633668
bgr,2009,590319
bgr,2010,645269
bgr,2011,801563
bgr,2012,681408
bgr,2013,791640
bgr,2014,936588
bgr,2015,1207100
bgr,2016,1549335
bgr,2017,1990746
bgr,2018,2138044
bgr,2019,2648106
bgr,2020,2519271
bgr,2021,2551713
bgr,2022,3004371
bgr,2023,3438098
bfa,1990,
bfa,1991,
bfa,1992,
bfa,1993,
bfa,1994,
bfa,1995,
bfa,1996,
bfa,1997,
bfa,1998,
bfa,1999,
bfa,2000,
bfa,2001,
bfa,2002,
bfa,2003,
bfa,2004,
bfa,2005,
bfa,2006,
bfa,2007,
bfa,2008,5395
bfa,2009,1367
bfa,2010,471
bfa,2011,1949
bfa,2012,363
bfa,2013,283
bfa,2014,282
bfa,2015,130
bfa,2016,2651
bfa,2017,1176
bfa,2018,2177
bfa,2019,1530
bfa,2020,4244
bfa,2021,2496
bfa,2022,8498
bfa,2023,6879
bdi,1990,
bdi,1991,
bdi,1992,
bdi,1993,
bdi,1994,
bdi,1995,
bdi,1996,
bdi,1997,
bdi,1998,
bdi,1999,
