country,year,ggas_cap_land
swe,2006,
swe,2007,
swe,2008,389.92425
swe,2009,352.24043
swe,2010,359.2552
swe,2011,348.63102
swe,2012,309.53015
swe,2013,281.62495
swe,2014,267.84953
swe,2015,244.19953
swe,2016,215.28427
swe,2017,199.91028
swe,2018,184.36931
swe,2019,178.01257
swe,2020,161.3455
swe,2021,166.84582
swe,2022,186.18212
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,216.68723
che,2009,207.18541
che,2010,206.95093
che,2011,203.74732
che,2012,192.70362
che,2013,188.90594
che,2014,187.28026
che,2015,184.32511
che,2016,184.38077
che,2017,179.5694
che,2018,177.12563
che,2019,176.17612
che,2020,169.91198
che,2021,169.71482
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
eu_three,1993,
eu_three,1994,
eu_three,1995,
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,398.58573
eu_three,2009,374.20926
eu_three,2010,371.24608
eu_three,2011,363.98039
eu_three,2012,346.16057
eu_three,2013,339.3387
eu_three,2014,329.86953
eu_three,2015,332.37098
eu_three,2016,323.12321
eu_three,2017,340.83327
eu_three,2018,339.76186
eu_three,2019,341.73305
eu_three,2020,313.29275
eu_three,2021,339.41265
eu_three,2022,347.10732
eu_three,2023,
