country,year,ae_cap_food
ltu,2019,7.81492
ltu,2020,5.56408
ltu,2021,13.36801
ltu,2022,13.0355
ltu,2023,
lux,1990,
lux,1991,
lux,1992,
lux,1993,
lux,1994,
lux,1995,
lux,1996,
lux,1997,
lux,1998,
lux,1999,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,44.44528
lux,2009,43.29767
lux,2010,48.82373
lux,2011,43.43274
lux,2012,58.19765
lux,2013,59.99088
lux,2014,41.22304
lux,2015,54.14828
lux,2016,59.4083
lux,2017,61.03424
lux,2018,63.68428
lux,2019,64.87368
lux,2020,25.40316
lux,2021,34.65324
lux,2022,28.92165
lux,2023,
mlt,1990,
mlt,1991,
mlt,1992,
mlt,1993,
mlt,1994,
mlt,1995,
mlt,1996,
mlt,1997,
mlt,1998,
mlt,1999,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,80.74093
mlt,2009,74.99986
mlt,2010,96.72621
mlt,2011,77.24061
mlt,2012,114.02451
mlt,2013,115.74574
mlt,2014,134.65022
mlt,2015,155.74625
mlt,2016,160.55671
mlt,2017,150.8119
mlt,2018,124.75902
mlt,2019,115.18027
mlt,2020,100.31595
mlt,2021,101.05745
mlt,2022,102.11549
mlt,2023,
nld,1990,
nld,1991,
nld,1992,
nld,1993,
nld,1994,
nld,1995,
nld,1996,
nld,1997,
nld,1998,
nld,1999,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,57.50733
nld,2009,57.57893
nld,2010,71.06438
nld,2011,60.75155
nld,2012,71.08041
nld,2013,74.59456
nld,2014,61.58041
nld,2015,65.84816
nld,2016,65.30248
nld,2017,64.75009
nld,2018,62.42611
nld,2019,61.04831
nld,2020,53.95049
nld,2021,55.99935
nld,2022,48.81634
nld,2023,
nor,1990,
nor,1991,
nor,1992,
nor,1993,
nor,1994,
nor,1995,
nor,1996,
nor,1997,
nor,1998,
nor,1999,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,21.97522
nor,2009,22.22093
nor,2010,25.90458
nor,2011,25.17236
nor,2012,25.05787
nor,2013,25.01035
nor,2014,25.02646
nor,2015,25.72969
nor,2016,26.59805
nor,2017,24.2987
nor,2018,25.56741
nor,2019,23.14312
nor,2020,20.70212
nor,2021,18.23907
nor,2022,17.81877
nor,2023,
pol,1990,
pol,1991,
pol,1992,
pol,1993,
pol,1994,
pol,1995,
pol,1996,
pol,1997,
pol,1998,
pol,1999,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,13.11463
pol,2009,12.7224
pol,2010,13.44147
pol,2011,12.57099
pol,2012,12.40981
pol,2013,11.47935
pol,2014,11.03099
pol,2015,11.37852
pol,2016,17.13099
pol,2017,16.09516
pol,2018,16.54674
pol,2019,18.26193
pol,2020,18.68176
pol,2021,22.09763
pol,2022,21.31459
pol,2023,
prt,1990,
prt,1991,
prt,1992,
prt,1993,
prt,1994,
prt,1995,
prt,1996,
prt,1997,
prt,1998,
prt,1999,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,33.47642
prt,2009,32.62739
prt,2010,21.30819
prt,2011,20.54494
prt,2012,20.18827
prt,2013,20.47102
prt,2014,26.76154
prt,2015,29.15949
prt,2016,30.21089
prt,2017,29.93354
prt,2018,34.52694
prt,2019,30.68944
prt,2020,23.24995
prt,2021,23.91672
prt,2022,22.76997
prt,2023,
rou,1990,
rou,1991,
rou,1992,
rou,1993,
rou,1994,
rou,1995,
rou,1996,
rou,1997,
rou,1998,
rou,1999,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,9.05842
rou,2009,8.19838
rou,2010,8.29567
rou,2011,8.01667
rou,2012,8.28492
rou,2013,8.08692
rou,2014,8.30333
rou,2015,8.37933
rou,2016,8.83314
rou,2017,9.58316
rou,2018,9.88627
rou,2019,9.99492
rou,2020,9.41202
rou,2021,10.19478
rou,2022,9.64709
rou,2023,
srb,1990,
srb,1991,
srb,1992,
srb,1993,
srb,1994,
srb,1995,
srb,1996,
srb,1997,
srb,1998,
srb,1999,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,
srb,2009,
srb,2010,
srb,2011,
srb,2012,
srb,2013,
srb,2014,
srb,2015,
srb,2016,
srb,2017,
srb,2018,
srb,2019,
srb,2020,
srb,2021,
srb,2022,
srb,2023,
svk,1990,
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,31.7606
svk,2009,32.29681
svk,2010,34.54782
svk,2011,28.77006
svk,2012,30.97781
svk,2013,32.24155
svk,2014,28.05027
svk,2015,28.52269
svk,2016,28.87306
svk,2017,31.18831
svk,2018,29.16061
svk,2019,30.0702
svk,2020,28.73136
svk,2021,32.38971
svk,2022,30.92473
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,70.9413
svn,2009,75.5069
svn,2010,70.84431
svn,2011,66.29321
svn,2012,56.2218
svn,2013,62.49179
svn,2014,42.98265
svn,2015,47.95601
svn,2016,54.37567
svn,2017,50.91009
svn,2018,52.39949
svn,2019,52.30534
svn,2020,41.9655
svn,2021,40.9404
svn,2022,42.25689
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
esp,1994,
esp,1995,
esp,1996,
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,58.71541
esp,2009,62.58768
esp,2010,75.25593
esp,2011,78.38325
esp,2012,70.62775
esp,2013,57.77424
esp,2014,47.30013
esp,2015,45.42446
esp,2016,46.1421
esp,2017,48.75675
esp,2018,51.30967
esp,2019,50.5276
esp,2020,39.68548
esp,2021,43.438
esp,2022,40.18635
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,9.37694
swe,2009,9.30328
swe,2010,9.74973
swe,2011,9.10789
swe,2012,8.49211
swe,2013,8.38756
swe,2014,8.04106
swe,2015,8.12686
swe,2016,7.80332
swe,2017,7.56007
swe,2018,7.22168
swe,2019,6.99457
swe,2020,6.39074
swe,2021,6.41014
swe,2022,5.8464
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,119.3449
che,2009,107.02987
che,2010,117.68341
che,2011,100.20936
che,2012,103.79802
che,2013,99.191
che,2014,78.80937
che,2015,75.64296
che,2016,79.04615
che,2017,78.86301
che,2018,74.12726
che,2019,64.80711
che,2020,60.90598
che,2021,62.11087
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
eu_three,1993,
eu_three,1994,
eu_three,1995,
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
