country,year,ae_cap_prof
lva,2009,18.32633
lva,2010,19.81595
lva,2011,13.69283
lva,2012,18.70747
lva,2013,16.64866
lva,2014,13.02626
lva,2015,15.81707
lva,2016,19.62975
lva,2017,23.17874
lva,2018,18.5331
lva,2019,18.91195
lva,2020,12.70308
lva,2021,12.53441
lva,2022,12.32712
lva,2023,
ltu,1990,
ltu,1991,
ltu,1992,
ltu,1993,
ltu,1994,
ltu,1995,
ltu,1996,
ltu,1997,
ltu,1998,
ltu,1999,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,7.27275
ltu,2009,7.16742
ltu,2010,8.06785
ltu,2011,10.54215
ltu,2012,8.37261
ltu,2013,9.20459
ltu,2014,25.30141
ltu,2015,12.67595
ltu,2016,15.72982
ltu,2017,16.64302
ltu,2018,20.63274
ltu,2019,19.34372
ltu,2020,13.3712
ltu,2021,9.31888
ltu,2022,9.08786
ltu,2023,
lux,1990,
lux,1991,
lux,1992,
lux,1993,
lux,1994,
lux,1995,
lux,1996,
lux,1997,
lux,1998,
lux,1999,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,38.92497
lux,2009,36.03735
lux,2010,41.0809
lux,2011,45.83818
lux,2012,62.19753
lux,2013,74.13733
lux,2014,61.62006
lux,2015,76.20932
lux,2016,69.01602
lux,2017,80.96459
lux,2018,157.23097
lux,2019,84.77642
lux,2020,122.14742
lux,2021,78.45837
lux,2022,65.41599
lux,2023,
mlt,1990,
mlt,1991,
mlt,1992,
mlt,1993,
mlt,1994,
mlt,1995,
mlt,1996,
mlt,1997,
mlt,1998,
mlt,1999,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,61.9311
mlt,2009,65.19314
mlt,2010,70.73715
mlt,2011,74.69686
mlt,2012,84.96586
mlt,2013,87.82628
mlt,2014,88.75044
mlt,2015,88.22449
mlt,2016,89.11569
mlt,2017,85.66061
mlt,2018,81.06877
mlt,2019,75.63974
mlt,2020,69.11727
