country,year,ae_ton_info
esp,1994,
esp,1995,
esp,1996,
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,290.2201
esp,2009,303.42218
esp,2010,356.33798
esp,2011,368.57427
esp,2012,335.71486
esp,2013,281.04905
esp,2014,237.96764
esp,2015,228.50248
esp,2016,252.17418
esp,2017,262.69845
esp,2018,283.47909
esp,2019,274.82905
esp,2020,258.50412
esp,2021,282.11882
esp,2022,264.671
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,175.9644
swe,2009,169.70587
swe,2010,160.63035
swe,2011,164.07733
swe,2012,144.78816
swe,2013,137.34498
swe,2014,129.25988
swe,2015,123.26423
swe,2016,115.56008
swe,2017,110.58371
swe,2018,108.19127
swe,2019,103.37069
swe,2020,93.53485
swe,2021,88.533
swe,2022,79.55331
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,197.10406
che,2009,224.48392
che,2010,240.37886
che,2011,197.1166
che,2012,190.65655
che,2013,181.10294
che,2014,178.71912
che,2015,149.9138
che,2016,173.28773
che,2017,155.71831
che,2018,131.2523
che,2019,135.31911
che,2020,139.64459
che,2021,178.44015
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
gbr,1990,
gbr,1991,
gbr,1992,
gbr,1993,
gbr,1994,
gbr,1995,
gbr,1996,
gbr,1997,
gbr,1998,
gbr,1999,
gbr,2000,
gbr,2001,
gbr,2002,
gbr,2003,
gbr,2004,
gbr,2005,
gbr,2006,
gbr,2007,
gbr,2008,1183.1
gbr,2009,1008.8
gbr,2010,1032.9
gbr,2011,981.5
gbr,2012,994.7
gbr,2013,944.8
gbr,2014,901.3
gbr,2015,908.7
gbr,2016,932
gbr,2017,887.3
gbr,2018,839.4
gbr,2019,833.8
gbr,2020,698.4
gbr,2021,771.2
gbr,2022,760.1
gbr,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
eu_three,1993,
eu_three,1994,
eu_three,1995,
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,9964.82913
eu_three,2009,9105.78158
eu_three,2010,9118.31198
eu_three,2011,8930.32041
eu_three,2012,8949.25781
eu_three,2013,8865.91812
eu_three,2014,6569.30975
eu_three,2015,7097.90761
eu_three,2016,8193.88759
eu_three,2017,8641.04812
eu_three,2018,8510.68983
eu_three,2019,8284.19532
eu_three,2020,7182.31272
eu_three,2021,7988.46809
eu_three,2022,7423.75041
eu_three,2023,
