country,year,ae_cap_const
ltu,2019,65.12932
ltu,2020,64.54247
ltu,2021,33.67596
ltu,2022,34.09265
ltu,2023,
lux,1990,
lux,1991,
lux,1992,
lux,1993,
lux,1994,
lux,1995,
lux,1996,
lux,1997,
lux,1998,
lux,1999,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,359.10406
lux,2009,321.74763
lux,2010,349.00573
lux,2011,330.22994
lux,2012,283.62282
lux,2013,261.49809
lux,2014,278.29231
lux,2015,313.55591
lux,2016,283.15762
lux,2017,275.38686
lux,2018,263.28974
lux,2019,269.18892
lux,2020,291.37145
lux,2021,217.07532
lux,2022,176.43264
lux,2023,
mlt,1990,
mlt,1991,
mlt,1992,
mlt,1993,
mlt,1994,
mlt,1995,
mlt,1996,
mlt,1997,
mlt,1998,
mlt,1999,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,99.12748
mlt,2009,93.01539
mlt,2010,94.38095
mlt,2011,101.03424
mlt,2012,92.38239
mlt,2013,94.61822
mlt,2014,95.78015
mlt,2015,98.35325
mlt,2016,100.41824
mlt,2017,101.98292
mlt,2018,104.45082
mlt,2019,111.00031
mlt,2020,100.94405
mlt,2021,106.68348
mlt,2022,106.02603
mlt,2023,
nld,1990,
nld,1991,
nld,1992,
nld,1993,
nld,1994,
nld,1995,
nld,1996,
nld,1997,
nld,1998,
nld,1999,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,258.56509
nld,2009,254.67576
nld,2010,239.8488
nld,2011,240.0208
nld,2012,218.78706
nld,2013,214.4323
nld,2014,208.12579
nld,2015,205.36837
nld,2016,214.12367
nld,2017,209.30476
nld,2018,208.59929
nld,2019,203.63896
nld,2020,196.35392
nld,2021,193.88936
nld,2022,193.15607
nld,2023,
nor,1990,
nor,1991,
nor,1992,
nor,1993,
nor,1994,
nor,1995,
nor,1996,
nor,1997,
nor,1998,
nor,1999,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,389.72398
nor,2009,360.05594
nor,2010,348.18239
nor,2011,358.72218
nor,2012,401.87281
nor,2013,430.55746
nor,2014,418.05084
nor,2015,426.83439
nor,2016,415.84717
nor,2017,427.80878
nor,2018,441.23889
nor,2019,406.75981
nor,2020,372.62055
nor,2021,400.64468
nor,2022,391.7385
nor,2023,
pol,1990,
pol,1991,
pol,1992,
pol,1993,
pol,1994,
pol,1995,
pol,1996,
pol,1997,
pol,1998,
pol,1999,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,31.10958
pol,2009,33.13612
pol,2010,30.64602
pol,2011,32.11627
pol,2012,28.41718
pol,2013,22.86629
pol,2014,21.02511
pol,2015,17.5157
pol,2016,19.54146
pol,2017,24.4549
pol,2018,24.64815
pol,2019,22.30767
pol,2020,22.37021
pol,2021,23.16359
pol,2022,22.9525
pol,2023,
prt,1990,
prt,1991,
prt,1992,
prt,1993,
prt,1994,
prt,1995,
prt,1996,
prt,1997,
prt,1998,
prt,1999,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,181.30376
prt,2009,175.8983
prt,2010,178.62421
prt,2011,168.43346
prt,2012,133.18036
prt,2013,110.59126
prt,2014,108.40593
prt,2015,125.13329
prt,2016,121.28806
prt,2017,130.05778
prt,2018,131.24341
prt,2019,132.33459
prt,2020,128.66945
prt,2021,141.25744
prt,2022,135.17969
prt,2023,
rou,1990,
rou,1991,
rou,1992,
rou,1993,
rou,1994,
rou,1995,
rou,1996,
rou,1997,
rou,1998,
rou,1999,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,186.61184
rou,2009,134.8999
rou,2010,140.48973
