country,year,ae_cap_finance
ltu,2019,11.38826
ltu,2020,11.94258
ltu,2021,10.52118
ltu,2022,10.24891
ltu,2023,
lux,1990,
lux,1991,
lux,1992,
lux,1993,
lux,1994,
lux,1995,
lux,1996,
lux,1997,
lux,1998,
lux,1999,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,508.65194
lux,2009,365.2508
lux,2010,389.3684
lux,2011,231.59423
lux,2012,333.99651
lux,2013,304.40156
lux,2014,203.54369
lux,2015,231.6122
lux,2016,276.07574
lux,2017,315.55325
lux,2018,345.03784
lux,2019,396.28021
lux,2020,216.86862
lux,2021,444.39786
lux,2022,370.92817
lux,2023,
mlt,1990,
mlt,1991,
mlt,1992,
mlt,1993,
mlt,1994,
mlt,1995,
mlt,1996,
mlt,1997,
mlt,1998,
mlt,1999,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,0.84781
mlt,2009,0.86578
mlt,2010,0.96462
mlt,2011,1.02157
mlt,2012,1.17387
mlt,2013,1.22402
mlt,2014,1.4444
mlt,2015,1.39303
mlt,2016,1.61385
mlt,2017,1.98653
mlt,2018,2.18498
mlt,2019,2.30618
mlt,2020,2.07571
mlt,2021,2.11116
mlt,2022,2.04558
mlt,2023,
nld,1990,
nld,1991,
nld,1992,
nld,1993,
nld,1994,
nld,1995,
nld,1996,
nld,1997,
nld,1998,
nld,1999,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,38.8363
nld,2009,39.07548
nld,2010,31.82696
nld,2011,26.46532
nld,2012,27.52852
nld,2013,26.62878
nld,2014,22.71178
nld,2015,23.46734
nld,2016,25.42176
nld,2017,26.34429
nld,2018,25.1323
nld,2019,22.88272
nld,2020,19.2973
nld,2021,20.0012
nld,2022,18.37247
nld,2023,
nor,1990,
nor,1991,
nor,1992,
nor,1993,
nor,1994,
nor,1995,
nor,1996,
nor,1997,
nor,1998,
nor,1999,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,0.31122
nor,2009,0.36532
nor,2010,0.89664
nor,2011,0.2009
nor,2012,0.17376
nor,2013,0.12294
nor,2014,0.08033
nor,2015,0.06863
nor,2016,0.06653
nor,2017,0.07147
nor,2018,0.04177
nor,2019,0.22496
nor,2020,0.15655
nor,2021,0.02648
nor,2022,0.02565
nor,2023,
pol,1990,
pol,1991,
pol,1992,
pol,1993,
pol,1994,
pol,1995,
pol,1996,
pol,1997,
pol,1998,
pol,1999,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,19.02219
pol,2009,19.13964
pol,2010,20.94868
pol,2011,20.16813
pol,2012,18.78577
pol,2013,17.28321
pol,2014,16.62324
pol,2015,16.97961
pol,2016,50.22569
pol,2017,56.98739
pol,2018,59.24114
pol,2019,49.01653
pol,2020,37.90068
pol,2021,46.23338
pol,2022,45.4721
pol,2023,
prt,1990,
prt,1991,
prt,1992,
prt,1993,
prt,1994,
prt,1995,
prt,1996,
prt,1997,
prt,1998,
prt,1999,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,9.08269
prt,2009,9.97429
prt,2010,9.55113
prt,2011,11.15429
prt,2012,10.57008
prt,2013,11.22615
prt,2014,10.45836
prt,2015,10.39082
prt,2016,9.48464
prt,2017,8.32312
prt,2018,5.47868
prt,2019,5.64736
prt,2020,6.48551
prt,2021,5.28512
prt,2022,5.08411
prt,2023,
rou,1990,
rou,1991,
rou,1992,
rou,1993,
rou,1994,
rou,1995,
rou,1996,
rou,1997,
rou,1998,
rou,1999,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,10.9899
rou,2009,10.85564
rou,2010,11.01272
rou,2011,10.41858
rou,2012,10.31703
rou,2013,10.31031
rou,2014,10.41405
rou,2015,10.41673
rou,2016,10.81853
rou,2017,11.81549
rou,2018,12.17108
rou,2019,12.27916
rou,2020,11.62177
rou,2021,12.61821
rou,2022,11.99188
rou,2023,
srb,1990,
srb,1991,
srb,1992,
srb,1993,
srb,1994,
srb,1995,
srb,1996,
srb,1997,
srb,1998,
srb,1999,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,
srb,2009,
srb,2010,
srb,2011,
srb,2012,
srb,2013,
srb,2014,
srb,2015,
srb,2016,
srb,2017,
srb,2018,
srb,2019,
srb,2020,
srb,2021,
srb,2022,
srb,2023,
svk,1990,
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,6.8376
svk,2009,7.46679
svk,2010,8.98671
svk,2011,8.78347
svk,2012,8.89908
svk,2013,9.1763
svk,2014,8.76828
svk,2015,8.50762
svk,2016,7.68083
svk,2017,7.71522
svk,2018,6.81965
svk,2019,15.79828
svk,2020,14.40558
svk,2021,16.30389
svk,2022,15.69098
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,36.86871
svn,2009,22.76686
svn,2010,23.93864
svn,2011,22.40727
svn,2012,20.89736
svn,2013,21.76504
svn,2014,25.05032
svn,2015,27.3177
svn,2016,27.83226
svn,2017,28.97176
svn,2018,29.62773
svn,2019,29.11121
svn,2020,25.30822
svn,2021,28.0669
svn,2022,30.28453
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
esp,1994,
esp,1995,
esp,1996,
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,5.22117
esp,2009,5.66118
esp,2010,6.62129
esp,2011,6.87185
esp,2012,6.18595
esp,2013,5.13461
esp,2014,4.2962
esp,2015,4.12096
esp,2016,4.36539
esp,2017,4.52048
esp,2018,4.676
esp,2019,4.5889
esp,2020,4.25563
esp,2021,4.6356
esp,2022,4.326
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,8.39455
swe,2009,8.66907
swe,2010,10.14055
swe,2011,9.02125
swe,2012,9.54416
swe,2013,8.98267
swe,2014,8.46447
swe,2015,8.73091
swe,2016,8.50567
swe,2017,8.61554
swe,2018,7.91346
swe,2019,7.70006
swe,2020,7.23175
swe,2021,9.68513
swe,2022,8.7054
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,49.22778
che,2009,49.27785
che,2010,50.73989
che,2011,47.80414
che,2012,46.31572
che,2013,44.50437
che,2014,36.24178
che,2015,30.9497
che,2016,32.8164
che,2017,27.45706
che,2018,24.24943
che,2019,23.1477
che,2020,23.56795
che,2021,25.04042
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
eu_three,1993,
eu_three,1994,
eu_three,1995,
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,16.85916
eu_three,2009,16.87096
eu_three,2010,16.49623
eu_three,2011,15.09973
eu_three,2012,15.00555
eu_three,2013,14.89329
eu_three,2014,13.41581
eu_three,2015,13.88488
eu_three,2016,16.79121
eu_three,2017,17.50284
eu_three,2018,17.42394
eu_three,2019,16.74444
eu_three,2020,14.56718
eu_three,2021,16.61856
eu_three,2022,15.43305
eu_three,2023,
