country,year,ae_ton_air
isl,1992,
isl,1993,
isl,1994,
isl,1995,
isl,1996,
isl,1997,
isl,1998,
isl,1999,
isl,2000,
isl,2001,
isl,2002,
isl,2003,
isl,2004,
isl,2005,
isl,2006,
isl,2007,
isl,2008,695.58589
isl,2009,509.87903
isl,2010,616.11119
isl,2011,631.39384
isl,2012,736.07321
isl,2013,1049.04101
isl,2014,1139.48142
isl,2015,1336.35348
isl,2016,1938.7295
isl,2017,2153.82347
isl,2018,3595.75007
isl,2019,2198.25367
isl,2020,510.25209
isl,2021,469.88201
isl,2022,1342.02539
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,79.06125
irl,2009,68.75422
irl,2010,8229.10269
irl,2011,9100.52069
irl,2012,9202.63592
irl,2013,9829.08738
irl,2014,10244.76641
irl,2015,11067.26245
irl,2016,13616.05675
irl,2017,15643.3428
irl,2018,16962.61802
irl,2019,17554.16331
irl,2020,5816.54982
irl,2021,6047.70611
irl,2022,13726.34308
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,8681.31635
ita,2009,7033.52449
ita,2010,7066.91926
ita,2011,7256.75256
ita,2012,6641.05195
ita,2013,6243.85077
ita,2014,6842.09491
ita,2015,6116.83654
ita,2016,6256.52551
ita,2017,6391.8423
ita,2018,6825.36935
ita,2019,7087.07736
ita,2020,2410.79883
ita,2021,2537.86762
ita,2022,2647.53849
ita,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,325.01559
lva,2009,392.2286
lva,2010,567.3512
lva,2011,493.46202
lva,2012,465.08124
lva,2013,401.32035
lva,2014,438.49002
lva,2015,451.24036
lva,2016,466.34664
lva,2017,654.95323
lva,2018,691.41019
lva,2019,701.18601
lva,2020,225.2963
lva,2021,240.72614
lva,2022,432.18324
lva,2023,
ltu,1990,
ltu,1991,
ltu,1992,
ltu,1993,
ltu,1994,
ltu,1995,
ltu,1996,
ltu,1997,
ltu,1998,
ltu,1999,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,162.64647
ltu,2009,40.42468
ltu,2010,41.1972
ltu,2011,36.02849
ltu,2012,34.52808
ltu,2013,33.13871
ltu,2014,79.41807
ltu,2015,62.27478
ltu,2016,77.7913
ltu,2017,80.60403
ltu,2018,111.65185
ltu,2019,124.35591
ltu,2020,84.11379
ltu,2021,54.6678
ltu,2022,88.72652
ltu,2023,
lux,1990,
lux,1991,
lux,1992,
lux,1993,
lux,1994,
lux,1995,
lux,1996,
lux,1997,
lux,1998,
lux,1999,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,3396.28
lux,2009,3533.026
lux,2010,3261.7264
lux,2011,3046.0075
lux,2012,2884.6182
lux,2013,3122.2551
lux,2014,3514.6487
lux,2015,4505.9911
lux,2016,4525.9915
lux,2017,4535.918
lux,2018,4660.2776
lux,2019,5164.7616
lux,2020,4655.3981
lux,2021,4656.6535
lux,2022,4746.33468
lux,2023,
mlt,1990,
mlt,1991,
mlt,1992,
mlt,1993,
mlt,1994,
mlt,1995,
mlt,1996,
mlt,1997,
mlt,1998,
mlt,1999,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,227.50302
mlt,2009,214.74586
mlt,2010,235.0284
mlt,2011,243.19251
mlt,2012,239.54521
mlt,2013,257.91636
mlt,2014,272.67475
mlt,2015,266.74886
mlt,2016,242.37633
mlt,2017,261.07761
mlt,2018,318.19402
mlt,2019,358.64551
mlt,2020,129.08808
mlt,2021,111.51619
mlt,2022,166.33415
mlt,2023,
nld,1990,
nld,1991,
nld,1992,
nld,1993,
nld,1994,
nld,1995,
nld,1996,
nld,1997,
nld,1998,
nld,1999,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,12715.17044
nld,2009,11790.6642
nld,2010,12118.99122
nld,2011,12956.09679
nld,2012,12985.59075
nld,2013,12900.64611
nld,2014,12842.4771
nld,2015,13081.85355
nld,2016,12168.00032
nld,2017,12026.51803
nld,2018,12026.59395
nld,2019,14066.72385
nld,2020,7722.7511
nld,2021,7968.09071
nld,2022,9600.92389
nld,2023,
nzl,1990,
nzl,1991,
nzl,1992,
nzl,1993,
nzl,1994,
nzl,1995,
nzl,1996,
nzl,1997,
nzl,1998,
nzl,1999,
nzl,2000,
nzl,2001,
nzl,2002,
nzl,2003,
nzl,2004,
nzl,2005,
nzl,2006,
nzl,2007,
nzl,2008,4137.9350623
nzl,2009,3640.7139894
nzl,2010,3446.2460342
nzl,2011,3390.2986682
nzl,2012,3286.912339
nzl,2013,3286.1883896
nzl,2014,3290.1461633
nzl,2015,3569.8900712
nzl,2016,3824.8580437
nzl,2017,3977.5042597
nzl,2018,4230.7787261
nzl,2019,4232.5294521
nzl,2020,2108.766547
nzl,2021,1711.7051569
nzl,2022,
nzl,2023,
nor,1990,
nor,1991,
nor,1992,
nor,1993,
nor,1994,
nor,1995,
nor,1996,
nor,1997,
nor,1998,
nor,1999,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,2203.42112
nor,2009,2300.94967
nor,2010,2476.57722
nor,2011,2779.72875
nor,2012,3160.87413
nor,2013,3537.33229
nor,2014,3893.89434
nor,2015,4110.78006
nor,2016,3385.07851
nor,2017,3565.52681
nor,2018,3882.64671
nor,2019,4657.90489
nor,2020,1416.07796
nor,2021,1258.50714
nor,2022,1918.18116
nor,2023,
pol,1990,
pol,1991,
pol,1992,
pol,1993,
pol,1994,
pol,1995,
pol,1996,
pol,1997,
pol,1998,
pol,1999,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,3895.96322
pol,2009,3978.27724
pol,2010,4279.46168
pol,2011,4359.33533
pol,2012,4332.70363
pol,2013,4170.7297
pol,2014,4414.97903
pol,2015,4540.48915
pol,2016,1345.35572
pol,2017,1521.96896
pol,2018,1979.77653
pol,2019,2666.06587
pol,2020,1270.70867
pol,2021,2188.06496
pol,2022,2189.59351
pol,2023,
prt,1990,
prt,1991,
prt,1992,
prt,1993,
prt,1994,
prt,1995,
prt,1996,
prt,1997,
prt,1998,
prt,1999,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,3251.41996
prt,2009,3026.80251
prt,2010,3295.74936
prt,2011,3366.36589
prt,2012,3392.56445
prt,2013,3384.72586
prt,2014,3516.96727
prt,2015,3526.34077
prt,2016,3450.65974
prt,2017,3872.71352
prt,2018,4190.8285
prt,2019,4798.7192
prt,2020,1947.9437
prt,2021,2835.9658
prt,2022,4779.37467
prt,2023,
rou,1990,
rou,1991,
rou,1992,
rou,1993,
rou,1994,
rou,1995,
rou,1996,
rou,1997,
rou,1998,
rou,1999,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,549.74397
rou,2009,626.11092
rou,2010,761.47022
rou,2011,582.01184
rou,2012,414.93084
rou,2013,459.10128
rou,2014,397.04783
rou,2015,437.67128
rou,2016,455.99797
rou,2017,561.20312
rou,2018,396.65848
rou,2019,485.01669
rou,2020,185.33454
rou,2021,258.47159
rou,2022,351.26422
rou,2023,
srb,1990,
srb,1991,
srb,1992,
srb,1993,
srb,1994,
srb,1995,
srb,1996,
srb,1997,
srb,1998,
srb,1999,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,
srb,2009,
srb,2010,
srb,2011,
srb,2012,
srb,2013,
srb,2014,
srb,2015,
srb,2016,
srb,2017,
srb,2018,
srb,2019,
srb,2020,
srb,2021,
srb,2022,
srb,2023,
svk,1990,
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,63.00076
svk,2009,46.43914
svk,2010,41.37355
svk,2011,41.96953
svk,2012,37.43357
svk,2013,34.92339
svk,2014,36.74485
svk,2015,44.57003
svk,2016,47.41574
svk,2017,50.68575
svk,2018,56.35226
svk,2019,56.36585
svk,2020,16.79556
svk,2021,20.07446
svk,2022,45.74436
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,187.78726
svn,2009,151.21412
svn,2010,153.24932
svn,2011,139.75892
svn,2012,129.94832
svn,2013,131.31091
svn,2014,155.7132
svn,2015,162.55949
svn,2016,152.36336
svn,2017,161.96442
svn,2018,191.18074
svn,2019,157.97239
svn,2020,30.8045
svn,2021,79.00934
svn,2022,164.33592
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
esp,1994,
esp,1995,
esp,1996,
