country,year,ae_cap_transp
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,878.11631
ita,2009,741.4852
ita,2010,782.2726
ita,2011,746.35121
ita,2012,717.37728
ita,2013,700.94664
ita,2014,674.91162
ita,2015,639.43248
ita,2016,638.15028
ita,2017,694.68123
ita,2018,703.48225
ita,2019,747.94521
ita,2020,580.94451
ita,2021,683.83395
ita,2022,716.02749
ita,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,1481.8929
lva,2009,1227.62961
lva,2010,1387.31352
lva,2011,1275.58081
lva,2012,1263.05071
lva,2013,1220.37749
lva,2014,1330.64903
lva,2015,1474.46801
lva,2016,1428.24731
lva,2017,1557.74059
lva,2018,1597.56635
lva,2019,1617.06741
lva,2020,1102.1729
lva,2021,1200.26771
lva,2022,1268.53615
lva,2023,
ltu,1990,
ltu,1991,
ltu,1992,
ltu,1993,
ltu,1994,
ltu,1995,
ltu,1996,
ltu,1997,
ltu,1998,
ltu,1999,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,1169.08416
ltu,2009,872.58452
ltu,2010,934.88381
ltu,2011,1002.8887
ltu,2012,963.05044
ltu,2013,968.42704
ltu,2014,1050.71101
ltu,2015,1205.0298
ltu,2016,1347.99792
ltu,2017,1691.95385
ltu,2018,2188.02805
ltu,2019,2331.7455
ltu,2020,3003.04688
ltu,2021,2703.83679
ltu,2022,2615.17425
ltu,2023,
lux,1990,
lux,1991,
lux,1992,
lux,1993,
lux,1994,
lux,1995,
lux,1996,
lux,1997,
lux,1998,
lux,1999,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,7456.32136
lux,2009,7583.46032
lux,2010,6972.24417
lux,2011,6401.73069
lux,2012,6013.94628
lux,2013,6266.05103
lux,2014,6783.72956
lux,2015,8326.75246
lux,2016,8154.82597
lux,2017,7984.3422
lux,2018,7999.81604
lux,2019,8645.42603
lux,2020,7694.82413
lux,2021,7479.65123
lux,2022,7439.00092
lux,2023,
mlt,1990,
mlt,1991,
mlt,1992,
mlt,1993,
mlt,1994,
mlt,1995,
mlt,1996,
mlt,1997,
mlt,1998,
mlt,1999,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,937.31921
mlt,2009,893.33059
mlt,2010,997.68565
mlt,2011,1006.47415
mlt,2012,969.7813
mlt,2013,985.28655
mlt,2014,1012.65424
mlt,2015,999.29039
mlt,2016,936.78178
mlt,2017,963.89001
mlt,2018,1080.08659
mlt,2019,1146.76743
mlt,2020,627.48577
mlt,2021,625.21168
mlt,2022,730.22178
mlt,2023,
nld,1990,
nld,1991,
nld,1992,
nld,1993,
nld,1994,
nld,1995,
nld,1996,
nld,1997,
nld,1998,
nld,1999,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,1767.20631
nld,2009,1636.99616
nld,2010,1651.78801
nld,2011,1674.97548
nld,2012,1685.00278
nld,2013,1661.93507
nld,2014,1653.71217
nld,2015,1652.59677
nld,2016,1576.75063
nld,2017,1570.85926
nld,2018,1597.77579
nld,2019,1673.94724
nld,2020,1295.21972
nld,2021,1272.60402
nld,2022,1332.83512
nld,2023,
nor,1990,
nor,1991,
nor,1992,
nor,1993,
nor,1994,
nor,1995,
nor,1996,
nor,1997,
nor,1998,
nor,1999,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,3259.06061
nor,2009,2903.94503
nor,2010,3020.4012
nor,2011,4111.0459
nor,2012,4097.96394
nor,2013,4042.43848
nor,2014,3882.35015
nor,2015,5071.04035
nor,2016,3455.87019
nor,2017,3868.24109
nor,2018,4440.6874
nor,2019,4657.10501
nor,2020,3774.96203
nor,2021,3754.02935
nor,2022,3923.61502
nor,2023,
pol,1990,
pol,1991,
pol,1992,
pol,1993,
pol,1994,
pol,1995,
pol,1996,
pol,1997,
pol,1998,
pol,1999,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,394.22763
pol,2009,398.18267
pol,2010,426.41358
pol,2011,433.13444
pol,2012,418.88528
pol,2013,407.59173
pol,2014,426.0793
pol,2015,446.75231
pol,2016,154.08172
pol,2017,300.29149
pol,2018,312.62625
pol,2019,343.48802
pol,2020,288.93327
pol,2021,349.42449
pol,2022,364.25813
pol,2023,
prt,1990,
prt,1991,
prt,1992,
prt,1993,
prt,1994,
prt,1995,
prt,1996,
prt,1997,
prt,1998,
prt,1999,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,845.68173
prt,2009,811.20473
prt,2010,834.10131
prt,2011,804.22137
prt,2012,783.96622
prt,2013,772.69341
prt,2014,802.76046
prt,2015,811.67001
prt,2016,812.69883
prt,2017,847.48854
prt,2018,869.10375
prt,2019,917.6281
prt,2020,543.53337
prt,2021,668.84139
prt,2022,873.58604
prt,2023,
rou,1990,
rou,1991,
rou,1992,
rou,1993,
rou,1994,
rou,1995,
rou,1996,
rou,1997,
rou,1998,
rou,1999,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,328.71491
rou,2009,269.9894
rou,2010,269.59071
rou,2011,264.03506
rou,2012,250.63401
rou,2013,270.45532
rou,2014,266.21131
rou,2015,278.98055
rou,2016,307.99272
rou,2017,332.38381
rou,2018,330.73488
rou,2019,350.97521
rou,2020,312.34221
rou,2021,336.03251
rou,2022,326.58474
rou,2023,
srb,1990,
srb,1991,
srb,1992,
srb,1993,
srb,1994,
srb,1995,
srb,1996,
srb,1997,
srb,1998,
srb,1999,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,
srb,2009,
srb,2010,
srb,2011,
srb,2012,
srb,2013,
srb,2014,
srb,2015,
srb,2016,
