country,year,env_tax_total
bfa,2000,5.12
bfa,2001,2.79
bfa,2002,6.65
bfa,2003,6.46
bfa,2004,6.42
bfa,2005,6.3
bfa,2006,5.93
bfa,2007,5.98
bfa,2008,5.62
bfa,2009,5.25
bfa,2010,4.76
bfa,2011,4.87
bfa,2012,5.1
bfa,2013,3.3
bfa,2014,5.37
bfa,2015,6.58
bfa,2016,6.34
bfa,2017,6.94
bfa,2018,6.89
bfa,2019,6.52
bfa,2020,
bfa,2021,
bfa,2022,
bfa,2023,
cpv,1990,
cpv,1991,
cpv,1992,
cpv,1993,
cpv,1994,0
cpv,1995,0
cpv,1996,0
cpv,1997,0
cpv,1998,0
cpv,1999,0
cpv,2000,1.14
cpv,2001,0.48
cpv,2002,0.74
cpv,2003,0.54
cpv,2004,0.68
cpv,2005,1.02
cpv,2006,0.96
cpv,2007,0.85
cpv,2008,0.76
cpv,2009,0.73
cpv,2010,1.02
cpv,2011,1.78
cpv,2012,1.97
cpv,2013,2.02
cpv,2014,2.07
cpv,2015,1.94
cpv,2016,2.1
cpv,2017,1.92
cpv,2018,1.78
cpv,2019,1.78
cpv,2020,
cpv,2021,
cpv,2022,
cpv,2023,
khm,1990,
khm,1991,
khm,1992,
khm,1993,
khm,1994,
khm,1995,
khm,1996,
khm,1997,
khm,1998,
khm,1999,
khm,2000,
khm,2001,
khm,2002,
khm,2003,
khm,2004,
khm,2005,
khm,2006,
khm,2007,
khm,2008,0
khm,2009,31.54
khm,2010,30.02
khm,2011,25.59
khm,2012,0
khm,2013,0
khm,2014,0
khm,2015,0
khm,2016,0
khm,2017,0
khm,2018,0
khm,2019,0
khm,2020,0
khm,2021,
khm,2022,
khm,2023,
cmr,1990,
cmr,1991,
cmr,1992,
cmr,1993,
cmr,1994,10.28
cmr,1995,8.23
cmr,1996,11.21
cmr,1997,10.08
cmr,1998,9.27
cmr,1999,8.97
cmr,2000,7.21
cmr,2001,7.29
cmr,2002,7.33
cmr,2003,6.9
cmr,2004,7.56
cmr,2005,6.72
cmr,2006,6.39
cmr,2007,5.79
cmr,2008,5.25
cmr,2009,5.3
cmr,2010,5.78
cmr,2011,5.12
cmr,2012,5.26
cmr,2013,5.23
cmr,2014,5.19
cmr,2015,4.24
cmr,2016,4.24
cmr,2017,4.51
cmr,2018,4.36
cmr,2019,4.31
cmr,2020,
cmr,2021,
cmr,2022,
cmr,2023,
tcd,1990,
tcd,1991,
tcd,1992,
tcd,1993,
tcd,1994,
tcd,1995,
tcd,1996,
tcd,1997,
tcd,1998,
tcd,1999,
tcd,2000,
tcd,2001,
tcd,2002,
tcd,2003,
tcd,2004,
tcd,2005,
tcd,2006,
tcd,2007,
tcd,2008,
tcd,2009,
tcd,2010,1.03
tcd,2011,0.49
tcd,2012,0.17
tcd,2013,0.26
tcd,2014,0.39
tcd,2015,1.04
tcd,2016,1.07
tcd,2017,1
tcd,2018,6.27
tcd,2019,3.57
tcd,2020,
tcd,2021,
tcd,2022,
tcd,2023,
chn,1990,
chn,1991,
chn,1992,
chn,1993,
chn,1994,
chn,1995,
chn,1996,
chn,1997,
chn,1998,
chn,1999,
chn,2000,3.32
chn,2001,4.84
chn,2002,4.89
chn,2003,5.49
chn,2004,7.32
chn,2005,6.77
chn,2006,5.59
chn,2007,5.84
chn,2008,6.27
chn,2009,9.13
chn,2010,9.44
chn,2011,8.76
chn,2012,9.01
chn,2013,5.64
chn,2014,5.82
chn,2015,5.61
chn,2016,5.07
chn,2017,5.41
chn,2018,5.43
chn,2019,3.98
chn,2020,4.2
chn,2021,
chn,2022,
chn,2023,
cog,1990,
cog,1991,
cog,1992,
cog,1993,
cog,1994,
cog,1995,
cog,1996,
cog,1997,
cog,1998,
cog,1999,
cog,2000,0.07
cog,2001,0.07
cog,2002,0.04
cog,2003,0.05
cog,2004,0.05
cog,2005,0.05
cog,2006,0.05
cog,2007,0.06
cog,2008,0.06
cog,2009,0.16
cog,2010,0.21
cog,2011,0.2
cog,2012,0.33
cog,2013,0.18
cog,2014,0.18
cog,2015,0.25
cog,2016,0.22
cog,2017,0.23
cog,2018,0.29
cog,2019,0.28
cog,2020,
cog,2021,
cog,2022,
cog,2023,
civ,1990,
civ,1991,
civ,1992,
civ,1993,
civ,1994,2.27
civ,1995,1.75
civ,1996,1.46
civ,1997,1.06
civ,1998,1.11
civ,1999,1.16
civ,2000,1.21
civ,2001,1.73
civ,2002,1.72
civ,2003,1.28
civ,2004,1.15
civ,2005,1.2
civ,2006,1.12
civ,2007,1.08
civ,2008,1.07
civ,2009,1.02
civ,2010,0.92
civ,2011,0.41
civ,2012,1.56
civ,2013,1.53
civ,2014,1.03
civ,2015,0.93
civ,2016,0.79
civ,2017,0.86
civ,2018,0.7
civ,2019,0.79
civ,2020,
civ,2021,
civ,2022,
civ,2023,
hrv,1990,
hrv,1991,
hrv,1992,
hrv,1993,
hrv,1994,
hrv,1995,6.11
hrv,1996,6.78
hrv,1997,6.59
hrv,1998,6.76
hrv,1999,7.33
hrv,2000,8.85
hrv,2001,9.53
hrv,2002,10.93
hrv,2003,11.12
hrv,2004,10.95
hrv,2005,10.61
hrv,2006,10.23
hrv,2007,9.91
hrv,2008,9.33
hrv,2009,9.35
hrv,2010,9.96
hrv,2011,9.23
hrv,2012,8.78
hrv,2013,9.44
hrv,2014,10.38
hrv,2015,10.81
hrv,2016,10.96
hrv,2017,11.04
hrv,2018,10.97
hrv,2019,10.86
hrv,2020,10.53
hrv,2021,
hrv,2022,
hrv,2023,
cyp,1990,
cyp,1991,
cyp,1992,
cyp,1993,
cyp,1994,
cyp,1995,10.52
cyp,1996,10.38
cyp,1997,9.39
cyp,1998,9.1
cyp,1999,8.9
cyp,2000,9.05
cyp,2001,9.79
cyp,2002,9.69
cyp,2003,12.01
cyp,2004,12.39
cyp,2005,10.69
cyp,2006,9.71
cyp,2007,8.79
cyp,2008,8.77
cyp,2009,8.83
cyp,2010,8.72
cyp,2011,8.72
cyp,2012,8.18
cyp,2013,8.59
cyp,2014,9.13
cyp,2015,9.25
cyp,2016,9.13
cyp,2017,9.18
cyp,2018,8.86
cyp,2019,7.42
cyp,2020,7.2
cyp,2021,
cyp,2022,
cyp,2023,
cod,1990,
cod,1991,
cod,1992,
cod,1993,
cod,1994,
cod,1995,
cod,1996,
cod,1997,
cod,1998,
cod,1999,
cod,2000,4.22
cod,2001,39.25
cod,2002,29.14
cod,2003,30.8
cod,2004,20.76
cod,2005,23.83
cod,2006,22.01
cod,2007,21.41
cod,2008,21.74
cod,2009,20.27
cod,2010,18.21
cod,2011,20.68
cod,2012,8
cod,2013,6.68
cod,2014,5.48
cod,2015,4.37
cod,2016,4.77
cod,2017,2.51
cod,2018,2.34
cod,2019,2.37
cod,2020,
cod,2021,
cod,2022,
cod,2023,
dom,1990,
dom,1991,
dom,1992,
dom,1993,
dom,1994,17.89
dom,1995,18.27
dom,1996,17.33
dom,1997,19
dom,1998,19.43
dom,1999,12.33
dom,2000,8.74
dom,2001,14.4
dom,2002,14.37
dom,2003,14.21
dom,2004,12.34
dom,2005,12.04
dom,2006,17.05
dom,2007,17.66
dom,2008,18.1
dom,2009,17.14
dom,2010,17.75
dom,2011,18.02
dom,2012,16.61
dom,2013,14.68
dom,2014,14.31
dom,2015,13.9
dom,2016,13.84
dom,2017,14.13
dom,2018,13.67
dom,2019,13.55
dom,2020,10.98
dom,2021,
dom,2022,
dom,2023,
ecu,1990,
ecu,1991,
ecu,1992,
ecu,1993,
ecu,1994,1.37
ecu,1995,1.55
ecu,1996,1.49
ecu,1997,2.12
ecu,1998,2.38
ecu,1999,1.97
ecu,2000,2.14
ecu,2001,2.53
ecu,2002,1.83
ecu,2003,1.71
ecu,2004,1.59
ecu,2005,1.55
ecu,2006,1.26
ecu,2007,1.25
ecu,2008,1.43
ecu,2009,1.69
ecu,2010,1.91
ecu,2011,1.74
ecu,2012,2.26
ecu,2013,2.4
ecu,2014,2.51
ecu,2015,2.23
ecu,2016,2.11
ecu,2017,2.18
ecu,2018,2.14
ecu,2019,2.05
ecu,2020,1.43
ecu,2021,
ecu,2022,
ecu,2023,
egy,1990,
egy,1991,
egy,1992,
egy,1993,
egy,1994,
egy,1995,
egy,1996,
egy,1997,
egy,1998,
egy,1999,
egy,2000,
egy,2001,
egy,2002,1.04
egy,2003,1.54
egy,2004,1.19
egy,2005,1.36
egy,2006,1.95
egy,2007,2.27
egy,2008,1.68
egy,2009,4.74
egy,2010,4.86
egy,2011,4.59
egy,2012,4.69
egy,2013,4.98
egy,2014,2.04
egy,2015,4.14
egy,2016,4.04
egy,2017,6.72
egy,2018,6.61
egy,2019,6.18
egy,2020,
egy,2021,
egy,2022,
egy,2023,
slv,1990,
slv,1991,
slv,1992,
slv,1993,
slv,1994,
slv,1995,
slv,1996,
slv,1997,
slv,1998,
slv,1999,
slv,2000,
slv,2001,0.09
slv,2002,3.34
slv,2003,3.25
slv,2004,3.06
slv,2005,2.66
slv,2006,2.36
slv,2007,2.2
slv,2008,2.89
slv,2009,3.24
slv,2010,3.01
slv,2011,2.72
slv,2012,2.62
slv,2013,2.46
slv,2014,2.47
slv,2015,2.72
slv,2016,2.77
slv,2017,2.71
slv,2018,2.65
slv,2019,2.71
slv,2020,2.12
slv,2021,
slv,2022,
slv,2023,
gnq,1990,
gnq,1991,
gnq,1992,
gnq,1993,
gnq,1994,
gnq,1995,
gnq,1996,
gnq,1997,
gnq,1998,
gnq,1999,
gnq,2000,
gnq,2001,
gnq,2002,
gnq,2003,
gnq,2004,
gnq,2005,3.28
gnq,2006,2.53
gnq,2007,3.04
gnq,2008,1.36
gnq,2009,1.46
gnq,2010,3.11
gnq,2011,2.99
gnq,2012,1.81
gnq,2013,1.89
gnq,2014,1.9
gnq,2015,3.51
gnq,2016,6.86
gnq,2017,6.14
gnq,2018,5.96
gnq,2019,3.89
gnq,2020,
gnq,2021,
gnq,2022,
gnq,2023,
swz,1990,
swz,1991,
swz,1992,
swz,1993,
swz,1994,
swz,1995,6.16
swz,1996,5.18
swz,1997,5.11
swz,1998,6.66
swz,1999,5.54
swz,2000,6.32
swz,2001,6.89
swz,2002,5.41
swz,2003,4.52
swz,2004,4.21
swz,2005,3.28
swz,2006,3.94
swz,2007,3.24
swz,2008,3.02
swz,2009,3.25
swz,2010,3.98
swz,2011,4.88
swz,2012,7.98
swz,2013,9.5
swz,2014,8.47
swz,2015,9.02
swz,2016,8.54
swz,2017,10.44
swz,2018,10.14
swz,2019,10.76
swz,2020,
swz,2021,
swz,2022,
swz,2023,
fji,1990,
fji,1991,
fji,1992,
fji,1993,
fji,1994,
fji,1995,
fji,1996,
fji,1997,
fji,1998,
fji,1999,
fji,2000,
fji,2001,
fji,2002,
fji,2003,
fji,2004,
fji,2005,
fji,2006,
fji,2007,
fji,2008,
