country,year,ggas_cap_water
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,469.9979
swe,2009,407.26634
swe,2010,407.10493
swe,2011,262.3966
swe,2012,193.30478
swe,2013,233.63977
swe,2014,244.11266
swe,2015,316.06808
swe,2016,374.1802
swe,2017,317.97492
swe,2018,332.04147
swe,2019,329.3813
swe,2020,272.04791
swe,2021,274.47992
swe,2022,304.50632
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,15.09369
che,2009,15.24669
che,2010,15.24604
che,2011,13.8422
che,2012,15.99645
che,2013,15.35407
che,2014,14.74429
che,2015,14.13055
che,2016,13.65541
che,2017,13.20826
che,2018,12.59566
che,2019,12.63838
che,2020,12.42185
che,2021,12.37551
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
eu_three,1993,
eu_three,1994,
eu_three,1995,
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,377.04731
eu_three,2009,324.70649
eu_three,2010,332.5935
eu_three,2011,317.17987
eu_three,2012,318.87879
eu_three,2013,293.44161
eu_three,2014,279.22489
eu_three,2015,315.60005
eu_three,2016,303.58125
eu_three,2017,343.15123
eu_three,2018,363.73513
eu_three,2019,355.48121
eu_three,2020,310.63714
eu_three,2021,328.01782
eu_three,2022,329.01996
eu_three,2023,
