country,year,ggas_cap_air
lva,2005,
lva,2006,
lva,2007,
lva,2008,149.27309
lva,2009,183.14156
lva,2010,270.48216
lva,2011,239.57851
lva,2012,228.61766
lva,2013,199.39927
lva,2014,219.92877
lva,2015,228.18417
lva,2016,237.98818
lva,2017,337.21401
lva,2018,358.76895
lva,2019,366.37995
lva,2020,118.54899
lva,2021,127.74074
lva,2022,229.96018
lva,2023,
ltu,1990,
ltu,1991,
ltu,1992,
ltu,1993,
ltu,1994,
ltu,1995,
ltu,1996,
ltu,1997,
ltu,1998,
ltu,1999,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,50.85514
ltu,2009,12.78083
ltu,2010,13.30108
ltu,2011,11.89799
ltu,2012,11.55646
ltu,2013,11.20426
ltu,2014,27.08326
ltu,2015,21.43777
ltu,2016,27.1217
ltu,2017,28.49807
ltu,2018,39.8537
ltu,2019,44.50602
ltu,2020,30.09562
ltu,2021,19.51836
ltu,2022,31.33398
ltu,2023,
lux,1990,
lux,1991,
lux,1992,
lux,1993,
lux,1994,
lux,1995,
lux,1996,
lux,1997,
lux,1998,
lux,1999,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,6950.33255
lux,2009,7097.52241
lux,2010,6433.98185
lux,2011,5876.38686
lux,2012,5432.97849
lux,2013,5746.19976
lux,2014,6317.6859
lux,2015,7910.74343
lux,2016,7776.43064
lux,2017,7606.31255
lux,2018,7665.56065
lux,2019,8330.24721
lux,2020,7384.60944
lux,2021,7275.29356
lux,2022,7267.3601
lux,2023,
mlt,1990,
mlt,1991,
mlt,1992,
mlt,1993,
mlt,1994,
mlt,1995,
mlt,1996,
mlt,1997,
mlt,1998,
mlt,1999,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,555.72713
mlt,2009,520.62506
mlt,2010,567.00571
mlt,2011,584.221
mlt,2012,570.30772
mlt,2013,605.48437
mlt,2014,627.47608
mlt,2015,599.36426
mlt,2016,532.27877
mlt,2017,557.85934
mlt,2018,656.57104
mlt,2019,711.51071
mlt,2020,250.49498
mlt,2021,215.05969
mlt,2022,313.18033
mlt,2023,
nld,1990,
nld,1991,
nld,1992,
nld,1993,
nld,1994,
nld,1995,
nld,1996,
nld,1997,
nld,1998,
nld,1999,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,773.16582
nld,2009,713.27208
nld,2010,729.38332
nld,2011,776.13607
nld,2012,775.02956
nld,2013,767.69308
nld,2014,761.48657
nld,2015,772.24988
nld,2016,714.49066
