country,year,ae_ton_land
isl,2009,47.7401
isl,2010,42.77416
isl,2011,45.22725
isl,2012,50.72546
isl,2013,66.93922
isl,2014,57.16203
isl,2015,55.83655
isl,2016,66.87589
isl,2017,69.59376
isl,2018,79.19682
isl,2019,72.42292
isl,2020,66.07361
isl,2021,76.69793
isl,2022,87.43691
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,3949.6751
irl,2009,3445.50734
irl,2010,3060.0406
irl,2011,3111.72803
irl,2012,3028.27837
irl,2013,2506.89301
irl,2014,2432.51218
irl,2015,2316.98516
irl,2016,2551.27399
irl,2017,2910.54309
irl,2018,2804.11864
irl,2019,2459.06431
irl,2020,2005.78501
irl,2021,1759.10307
irl,2022,1871.13887
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,19862.54845
ita,2009,18622.99931
ita,2010,18488.93749
ita,2011,17858.166
ita,2012,16918.57858
ita,2013,16944.82614
ita,2014,17518.6452
ita,2015,16322.38275
ita,2016,16270.18513
ita,2017,15946.61689
ita,2018,16979.7827
ita,2019,16783.30067
ita,2020,15073.67519
ita,2021,19240.59455
ita,2022,20081.74918
ita,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,2766.32125
lva,2009,2055.38497
lva,2010,2141.84095
lva,2011,1935.26132
lva,2012,1933.53666
lva,2013,1876.20357
lva,2014,2046.45117
lva,2015,2295.95021
lva,2016,2159.95484
lva,2017,2240.40795
lva,2018,2242.14504
lva,2019,2246.50651
lva,2020,1762.41149
lva,2021,1922.57841
lva,2022,1866.30411
lva,2023,
ltu,1990,
ltu,1991,
ltu,1992,
ltu,1993,
ltu,1994,
ltu,1995,
ltu,1996,
ltu,1997,
ltu,1998,
ltu,1999,
