country,year,ae_cap_total
isl,2013,16678.38061
isl,2014,16456.13372
isl,2015,17975.81118
isl,2016,18999.18256
isl,2017,19816.07446
isl,2018,23787.27823
isl,2019,19303.33598
isl,2020,13880.62844
isl,2021,13663.91276
isl,2022,15608.27137
isl,2023,
irl,1990,
irl,1991,
irl,1992,
irl,1993,
irl,1994,
irl,1995,
irl,1996,
irl,1997,
irl,1998,
irl,1999,
irl,2000,
irl,2001,
irl,2002,
irl,2003,
irl,2004,
irl,2005,
irl,2006,
irl,2007,
irl,2008,11599.63901
irl,2009,10448.51006
irl,2010,12043.62747
irl,2011,11509.75246
irl,2012,11892.30647
irl,2013,11896.56149
irl,2014,11936.39637
irl,2015,12350.18053
irl,2016,13161.41886
irl,2017,13576.57857
irl,2018,13664.16802
irl,2019,13104.13584
irl,2020,10471.64026
irl,2021,10935.06267
irl,2022,12040.44743
irl,2023,
ita,1990,
ita,1991,
ita,1992,
ita,1993,
ita,1994,
ita,1995,
ita,1996,
ita,1997,
ita,1998,
ita,1999,
ita,2000,
ita,2001,
ita,2002,
ita,2003,
ita,2004,
ita,2005,
ita,2006,
ita,2007,
ita,2008,7795.85187
ita,2009,6741.91765
ita,2010,6928.65617
ita,2011,6756.48981
ita,2012,6487.89206
ita,2013,5859.78444
ita,2014,5523.95709
ita,2015,5594.67393
ita,2016,5569.14723
ita,2017,5588.75003
ita,2018,5513.53982
ita,2019,5442.00172
ita,2020,4956.81063
ita,2021,5379.28059
ita,2022,5432.20773
ita,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,5303.18514
lva,2009,4731.4643
lva,2010,5444.51555
lva,2011,5177.9817
lva,2012,5116.48172
lva,2013,5045.80954
lva,2014,5059.06591
lva,2015,5242.55497
lva,2016,5231.30771
lva,2017,5348.29065
lva,2018,5636.54619
lva,2019,5682.61288
lva,2020,4941.03901
lva,2021,5131.37003
lva,2022,4943.35824
lva,2023,
ltu,1990,
ltu,1991,
ltu,1992,
ltu,1993,
ltu,1994,
ltu,1995,
ltu,1996,
ltu,1997,
ltu,1998,
ltu,1999,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,6891.62878
ltu,2009,5657.54919
ltu,2010,5995.29731
ltu,2011,6360.23036
ltu,2012,6383.49121
ltu,2013,6060.6146
ltu,2014,6370.30976
ltu,2015,6671.00722
ltu,2016,6636.49674
ltu,2017,6970.33532
ltu,2018,7278.18408
ltu,2019,7430.06351
ltu,2020,8058.96702
ltu,2021,7399.26699
ltu,2022,6965.98646
ltu,2023,
lux,1990,
lux,1991,
lux,1992,
lux,1993,
lux,1994,
lux,1995,
lux,1996,
lux,1997,
lux,1998,
lux,1999,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,16962.22293
lux,2009,16693.00157
lux,2010,16565.86178
lux,2011,14896.88854
lux,2012,14301.83885
lux,2013,13676.48586
lux,2014,13784.92693
lux,2015,14970.58029
lux,2016,14410.05483
lux,2017,14040.31431
lux,2018,13997.67798
lux,2019,14722.53152
lux,2020,13061.28011
lux,2021,12776.40075
lux,2022,12090.51969
lux,2023,
mlt,1990,
mlt,1991,
mlt,1992,
mlt,1993,
mlt,1994,
mlt,1995,
mlt,1996,
mlt,1997,
mlt,1998,
mlt,1999,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,7203.973
mlt,2009,6797.31887
mlt,2010,6960.57476
mlt,2011,6971.61572
mlt,2012,7315.30597
mlt,2013,6447.08564
mlt,2014,6374.48839
mlt,2015,4633.91805
mlt,2016,3874.02046
mlt,2017,4131.16713
mlt,2018,4076.51906
mlt,2019,4161.78155
mlt,2020,3669.2344
mlt,2021,3620.33822
mlt,2022,3708.47574
mlt,2023,
nld,1990,
nld,1991,
nld,1992,
nld,1993,
nld,1994,
nld,1995,
nld,1996,
nld,1997,
nld,1998,
nld,1999,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,11551.38197
nld,2009,11097.07427
nld,2010,11499.81564
nld,2011,10936.27375
nld,2012,10657.36022
nld,2013,10592.97151
nld,2014,10521.61319
nld,2015,10825.10595
nld,2016,10711.09087
nld,2017,10491.46776
nld,2018,10134.11423
nld,2019,9903.38322
nld,2020,8766.73399
nld,2021,8753.79501
nld,2022,8227.72475
nld,2023,
nor,1990,
nor,1991,
nor,1992,
nor,1993,
nor,1994,
nor,1995,
nor,1996,
nor,1997,
nor,1998,
nor,1999,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,12308.80783
nor,2009,11368.30558
nor,2010,11861.90026
nor,2011,12700.89528
nor,2012,12425.87726
nor,2013,12341.83636
nor,2014,12097.5829
nor,2015,13324.27485
nor,2016,11533.44895
nor,2017,11890.01784
nor,2018,12376.8299
nor,2019,12337.20938
nor,2020,11180.61364
nor,2021,11028.02094
nor,2022,11043.62985
nor,2023,
pol,1990,
pol,1991,
pol,1992,
pol,1993,
pol,1994,
pol,1995,
pol,1996,
pol,1997,
pol,1998,
pol,1999,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,9444.70691
pol,2009,8924.26165
pol,2010,9288.85503
pol,2011,9386.43381
pol,2012,9140.77857
pol,2013,9097.62414
pol,2014,8907.49107
pol,2015,8976.47785
pol,2016,9279.49313
pol,2017,9706.23203
pol,2018,9670.24348
pol,2019,9237.05064
pol,2020,8833.7564
pol,2021,9706.92716
pol,2022,9587.31138
pol,2023,
prt,1990,
prt,1991,
prt,1992,
prt,1993,
prt,1994,
prt,1995,
prt,1996,
prt,1997,
prt,1998,
prt,1999,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,6489.67715
prt,2009,6178.24819
prt,2010,5739.8816
prt,2011,5697.68864
prt,2012,5624.08312
prt,2013,5473.35648
prt,2014,5493.30531
prt,2015,5910.80361
prt,2016,5715.54208
prt,2017,6229.58951
prt,2018,5908.58802
prt,2019,5545.68022
prt,2020,4810.2076
prt,2021,4695.76073
prt,2022,4882.36736
prt,2023,
rou,1990,
rou,1991,
rou,1992,
rou,1993,
rou,1994,
rou,1995,
rou,1996,
rou,1997,
rou,1998,
rou,1999,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,6792.8144
rou,2009,5751.8284
rou,2010,5581.71718
rou,2011,5895.53344
rou,2012,5748.56683
rou,2013,5205.38927
rou,2014,5195.85481
rou,2015,5160.81836
rou,2016,5081.31518
rou,2017,5218.99037
rou,2018,5256.9036
rou,2019,5097.5065
rou,2020,4886.39885
rou,2021,5009.9511
rou,2022,4775.51629
rou,2023,
srb,1990,
srb,1991,
srb,1992,
srb,1993,
srb,1994,
srb,1995,
srb,1996,
srb,1997,
srb,1998,
srb,1999,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,
srb,2009,
srb,2010,
srb,2011,
srb,2012,
srb,2013,
srb,2014,
srb,2015,
srb,2016,
srb,2017,
srb,2018,
srb,2019,
srb,2020,
srb,2021,
srb,2022,
srb,2023,
svk,1990,
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,8115.43315
svk,2009,7304.96832
svk,2010,7305.8203
svk,2011,7294.51054
svk,2012,6765.2949
svk,2013,6676.7398
svk,2014,6405.49289
svk,2015,6471.84572
svk,2016,6515.74789
svk,2017,6638.40767
svk,2018,6633.77377
svk,2019,6145.98257
svk,2020,5635.45312
svk,2021,6232.71486
svk,2022,5658.96265
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,8093.93535
svn,2009,7375.583
svn,2010,7437.53455
svn,2011,7280.43724
svn,2012,6938.55908
svn,2013,6798.00972
svn,2014,6112.7066
svn,2015,6231.3631
svn,2016,6484.65721
svn,2017,6547.45712
svn,2018,6628.00163
svn,2019,6513.93775
svn,2020,6220.98069
svn,2021,6120.31974
svn,2022,5858.21681
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
esp,1994,
esp,1995,
esp,1996,
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,7309.66712
esp,2009,6435.67713
esp,2010,6098.35965
esp,2011,6223.87241
esp,2012,6157.58045
esp,2013,5582.92007
esp,2014,5644.57855
esp,2015,5865.20993
esp,2016,5597.72647
esp,2017,5877.87761
esp,2018,5688.64244
esp,2019,5286.02697
esp,2020,4559.96359
esp,2021,4797.26504
esp,2022,4925.20055
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,6147.80843
swe,2009,5514.20084
swe,2010,6147.72661
swe,2011,5607.24935
swe,2012,5236.45088
swe,2013,5048.94224
swe,2014,4857.67007
swe,2015,4842.24701
swe,2016,4891.02655
swe,2017,4694.01244
swe,2018,4593.3671
swe,2019,4439.32889
swe,2020,3917.78022
swe,2021,4090.75683
swe,2022,3979.03445
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,5093.67857
che,2009,4862.48097
che,2010,4926.23408
che,2011,4753.68903
che,2012,4769.193
che,2013,4746.78808
che,2014,4497.46734
che,2015,4406.61611
che,2016,4362.19131
che,2017,4279.13193
che,2018,4194.92889
che,2019,4163.37258
che,2020,3508.42398
che,2021,3606.63295
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
eu_three,1993,
eu_three,1994,
eu_three,1995,
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,8626.92875
eu_three,2009,7851.17961
eu_three,2010,8024.312
eu_three,2011,7901.99531
eu_three,2012,7728.87639
eu_three,2013,7493.97846
eu_three,2014,7234.80244
eu_three,2015,7299.14202
eu_three,2016,7269.86778
eu_three,2017,7365.30832
eu_three,2018,7224.85515
eu_three,2019,6878.66756
eu_three,2020,6192.64936
eu_three,2021,6543.66317
eu_three,2022,6481.15774
eu_three,2023,
