country,year,ae_cap_other
ltu,2019,9.3709
ltu,2020,6.10937
ltu,2021,3.27701
ltu,2022,3.19498
ltu,2023,
lux,1990,
lux,1991,
lux,1992,
lux,1993,
lux,1994,
lux,1995,
lux,1996,
lux,1997,
lux,1998,
lux,1999,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,10.87682
lux,2009,10.65441
lux,2010,16.7147
lux,2011,17.64233
lux,2012,16.91696
lux,2013,19.50645
lux,2014,15.32742
lux,2015,21.4952
lux,2016,27.11887
lux,2017,18.79589
lux,2018,16.55738
lux,2019,18.84016
lux,2020,13.90391
lux,2021,11.64516
lux,2022,9.72111
lux,2023,
mlt,1990,
mlt,1991,
mlt,1992,
mlt,1993,
mlt,1994,
mlt,1995,
mlt,1996,
mlt,1997,
mlt,1998,
mlt,1999,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,32.43363
mlt,2009,28.43674
mlt,2010,35.98657
mlt,2011,27.34946
mlt,2012,37.49412
mlt,2013,37.95558
mlt,2014,35.49598
mlt,2015,33.68839
mlt,2016,25.88596
mlt,2017,25.05164
mlt,2018,24.6388
mlt,2019,27.15232
mlt,2020,26.43648
mlt,2021,29.38654
mlt,2022,30.13278
mlt,2023,
nld,1990,
nld,1991,
nld,1992,
nld,1993,
nld,1994,
nld,1995,
nld,1996,
nld,1997,
nld,1998,
nld,1999,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,35.73612
nld,2009,36.42434
nld,2010,36.43848
nld,2011,32.074
nld,2012,32.82085
nld,2013,33.03124
nld,2014,28.30792
nld,2015,29.64144
nld,2016,28.88477
nld,2017,27.36336
nld,2018,26.55383
nld,2019,24.55203
nld,2020,20.85576
nld,2021,21.70987
nld,2022,19.39943
nld,2023,
nor,1990,
nor,1991,
nor,1992,
nor,1993,
nor,1994,
nor,1995,
nor,1996,
nor,1997,
nor,1998,
nor,1999,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,7.6618
nor,2009,8.06687
nor,2010,15.67275
nor,2011,12.33532
nor,2012,10.74583
nor,2013,12.388
nor,2014,12.7638
nor,2015,10.40887
nor,2016,11.98368
nor,2017,9.30256
nor,2018,9.35545
nor,2019,8.00258
nor,2020,8.19192
nor,2021,8.49898
nor,2022,8.07205
nor,2023,
pol,1990,
pol,1991,
pol,1992,
pol,1993,
pol,1994,
pol,1995,
pol,1996,
pol,1997,
pol,1998,
pol,1999,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,28.13734
pol,2009,28.95787
pol,2010,31.5629
pol,2011,31.84729
pol,2012,31.0306
pol,2013,30.6947
pol,2014,31.39371
pol,2015,33.39569
pol,2016,21.03333
pol,2017,24.50851
pol,2018,22.92531
pol,2019,21.43336
pol,2020,19.28516
pol,2021,22.63977
pol,2022,22.64514
pol,2023,
prt,1990,
prt,1991,
prt,1992,
prt,1993,
prt,1994,
prt,1995,
prt,1996,
prt,1997,
prt,1998,
prt,1999,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,6.6529
prt,2009,7.46684
prt,2010,6.6867
prt,2011,5.97445
prt,2012,5.58451
prt,2013,5.77066
prt,2014,5.79314
prt,2015,5.91864
prt,2016,5.67937
prt,2017,5.41802
prt,2018,5.9492
prt,2019,6.01753
prt,2020,5.23707
prt,2021,5.19828
prt,2022,5.00438
prt,2023,
rou,1990,
rou,1991,
rou,1992,
rou,1993,
rou,1994,
rou,1995,
rou,1996,
rou,1997,
rou,1998,
rou,1999,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,15.22638
rou,2009,15.15112
rou,2010,14.58459
rou,2011,14.28039
rou,2012,15.04308
rou,2013,14.87807
rou,2014,15.42326
rou,2015,15.62742
rou,2016,16.63092
rou,2017,17.77324
rou,2018,18.24938
rou,2019,18.48142
rou,2020,17.57557
rou,2021,18.96835
rou,2022,18.1266
rou,2023,
srb,1990,
srb,1991,
srb,1992,
srb,1993,
srb,1994,
srb,1995,
srb,1996,
srb,1997,
srb,1998,
srb,1999,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,
srb,2009,
srb,2010,
srb,2011,
srb,2012,
srb,2013,
srb,2014,
srb,2015,
srb,2016,
srb,2017,
srb,2018,
srb,2019,
srb,2020,
srb,2021,
srb,2022,
srb,2023,
svk,1990,
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,27.2842
svk,2009,27.2369
svk,2010,28.99701
svk,2011,23.07071
svk,2012,24.2956
svk,2013,25.45038
svk,2014,20.99079
svk,2015,21.20193
svk,2016,21.52561
svk,2017,23.15344
svk,2018,20.95392
svk,2019,20.29369
svk,2020,20.72679
svk,2021,23.57255
svk,2022,22.87687
svk,2023,
svn,1990,
svn,1991,
svn,1992,
svn,1993,
svn,1994,
svn,1995,
svn,1996,
svn,1997,
svn,1998,
svn,1999,
svn,2000,
svn,2001,
svn,2002,
svn,2003,
svn,2004,
svn,2005,
svn,2006,
svn,2007,
svn,2008,43.25219
svn,2009,31.04455
svn,2010,31.45581
svn,2011,29.3902
svn,2012,25.22272
svn,2013,26.58668
svn,2014,22.41762
svn,2015,24.1329
svn,2016,27.60416
svn,2017,26.73658
svn,2018,25.25054
svn,2019,24.70783
svn,2020,29.98377
svn,2021,28.82974
svn,2022,31.36205
svn,2023,
esp,1990,
esp,1991,
esp,1992,
esp,1993,
esp,1994,
esp,1995,
esp,1996,
esp,1997,
esp,1998,
esp,1999,
esp,2000,
esp,2001,
esp,2002,
esp,2003,
esp,2004,
esp,2005,
esp,2006,
esp,2007,
esp,2008,51.75954
esp,2009,46.47507
esp,2010,48.15344
esp,2011,46.78533
esp,2012,42.61334
esp,2013,39.82922
esp,2014,35.84688
esp,2015,35.21322
esp,2016,33.03439
esp,2017,30.88167
esp,2018,31.05758
esp,2019,29.89857
esp,2020,25.48249
esp,2021,32.62391
esp,2022,32.57238
esp,2023,
swe,1990,
swe,1991,
swe,1992,
swe,1993,
swe,1994,
swe,1995,
swe,1996,
swe,1997,
swe,1998,
swe,1999,
swe,2000,
swe,2001,
swe,2002,
swe,2003,
swe,2004,
swe,2005,
swe,2006,
swe,2007,
swe,2008,15.80219
swe,2009,15.01673
swe,2010,16.01209
swe,2011,16.37899
swe,2012,14.37408
swe,2013,13.69461
swe,2014,13.72601
swe,2015,13.03485
swe,2016,12.51949
swe,2017,11.63377
swe,2018,11.21143
swe,2019,11.02595
swe,2020,10.23862
swe,2021,9.95855
swe,2022,8.76039
swe,2023,
che,1990,
che,1991,
che,1992,
che,1993,
che,1994,
che,1995,
che,1996,
che,1997,
che,1998,
che,1999,
che,2000,
che,2001,
che,2002,
che,2003,
che,2004,
che,2005,
che,2006,
che,2007,
che,2008,39.99348
che,2009,40.63471
che,2010,46.27658
che,2011,33.70092
che,2012,37.34138
che,2013,45.3743
che,2014,36.34621
che,2015,36.57947
che,2016,36.12375
che,2017,30.8786
che,2018,30.93101
che,2019,33.11057
che,2020,28.94973
che,2021,34.3966
che,2022,
che,2023,
tur,1990,
tur,1991,
tur,1992,
tur,1993,
tur,1994,
tur,1995,
tur,1996,
tur,1997,
tur,1998,
tur,1999,
tur,2000,
tur,2001,
tur,2002,
tur,2003,
tur,2004,
tur,2005,
tur,2006,
tur,2007,
tur,2008,
tur,2009,
tur,2010,
tur,2011,
tur,2012,
tur,2013,
tur,2014,
tur,2015,
tur,2016,
tur,2017,
tur,2018,
tur,2019,
tur,2020,
tur,2021,
tur,2022,
tur,2023,
eu_three,1990,
eu_three,1991,
eu_three,1992,
eu_three,1993,
eu_three,1994,
eu_three,1995,
eu_three,1996,
eu_three,1997,
eu_three,1998,
eu_three,1999,
eu_three,2000,
eu_three,2001,
eu_three,2002,
eu_three,2003,
eu_three,2004,
eu_three,2005,
eu_three,2006,
eu_three,2007,
eu_three,2008,29.91438
eu_three,2009,28.10991
eu_three,2010,28.303
eu_three,2011,26.40962
eu_three,2012,25.98869
eu_three,2013,25.84869
eu_three,2014,29.42922
eu_three,2015,30.24142
eu_three,2016,29.05079
eu_three,2017,29.1513
eu_three,2018,28.33819
eu_three,2019,27.58334
eu_three,2020,24.29842
eu_three,2021,26.2096
eu_three,2022,24.9479
eu_three,2023,
