country,year,ae_cap_manu
mlt,1992,
mlt,1993,
mlt,1994,
mlt,1995,
mlt,1996,
mlt,1997,
mlt,1998,
mlt,1999,
mlt,2000,
mlt,2001,
mlt,2002,
mlt,2003,
mlt,2004,
mlt,2005,
mlt,2006,
mlt,2007,
mlt,2008,161.46938
mlt,2009,127.43647
mlt,2010,152.58233
mlt,2011,121.07234
mlt,2012,152.14579
mlt,2013,207.04873
mlt,2014,219.38228
mlt,2015,223.46589
mlt,2016,208.26522
mlt,2017,191.48243
mlt,2018,167.75018
mlt,2019,144.42074
mlt,2020,123.45442
mlt,2021,124.3196
mlt,2022,122.01917
mlt,2023,
nld,1990,
nld,1991,
nld,1992,
nld,1993,
nld,1994,
nld,1995,
nld,1996,
nld,1997,
nld,1998,
nld,1999,
nld,2000,
nld,2001,
nld,2002,
nld,2003,
nld,2004,
nld,2005,
nld,2006,
nld,2007,
nld,2008,2969.10519
nld,2009,2712.00045
nld,2010,2880.28742
nld,2011,2809.46231
nld,2012,2733.45299
nld,2013,2690.85536
nld,2014,2644.28952
nld,2015,2661.7773
nld,2016,2713.54711
nld,2017,2763.48737
nld,2018,2730.00827
nld,2019,2678.40441
nld,2020,2610.59564
nld,2021,2639.89044
nld,2022,2382.27311
nld,2023,
nor,1990,
nor,1991,
nor,1992,
nor,1993,
nor,1994,
nor,1995,
nor,1996,
nor,1997,
nor,1998,
nor,1999,
nor,2000,
nor,2001,
nor,2002,
nor,2003,
nor,2004,
nor,2005,
nor,2006,
nor,2007,
nor,2008,3011.55718
nor,2009,2458.83858
nor,2010,2609.48524
nor,2011,2572.27056
nor,2012,2469.10662
nor,2013,2426.66707
nor,2014,2313.56702
nor,2015,2353.88883
nor,2016,2274.92459
nor,2017,2318.15532
nor,2018,2301.35854
nor,2019,2206.40452
nor,2020,2186.46983
nor,2021,2235.82095
nor,2022,2171.18525
nor,2023,
pol,1990,
pol,1991,
pol,1992,
pol,1993,
pol,1994,
pol,1995,
pol,1996,
pol,1997,
pol,1998,
pol,1999,
pol,2000,
pol,2001,
pol,2002,
pol,2003,
pol,2004,
pol,2005,
pol,2006,
pol,2007,
pol,2008,1819.21582
pol,2009,1521.11754
pol,2010,1651.62447
pol,2011,1745.69856
pol,2012,1714.99767
pol,2013,1673.54147
pol,2014,1686.2814
pol,2015,1657.44445
pol,2016,1678.77819
pol,2017,1766.82468
pol,2018,1811.92889
pol,2019,1791.65259
pol,2020,1694.21073
pol,2021,1751.32167
pol,2022,1708.68339
pol,2023,
prt,1990,
prt,1991,
prt,1992,
prt,1993,
prt,1994,
prt,1995,
prt,1996,
prt,1997,
prt,1998,
prt,1999,
prt,2000,
prt,2001,
prt,2002,
prt,2003,
prt,2004,
prt,2005,
prt,2006,
prt,2007,
prt,2008,1843.10587
prt,2009,1532.24589
prt,2010,1620.59011
prt,2011,1461.32158
prt,2012,1394.51419
prt,2013,1525.19807
prt,2014,1515.54542
prt,2015,1564.65755
prt,2016,1453.78833
prt,2017,1522.30875
prt,2018,1464.29772
prt,2019,1501.3039
prt,2020,1450.30272
prt,2021,1371.29091
prt,2022,1332.65814
prt,2023,
rou,1990,
rou,1991,
rou,1992,
rou,1993,
rou,1994,
rou,1995,
rou,1996,
rou,1997,
rou,1998,
rou,1999,
rou,2000,
rou,2001,
rou,2002,
rou,2003,
rou,2004,
rou,2005,
rou,2006,
rou,2007,
rou,2008,1924.45945
rou,2009,1407.21605
rou,2010,1518.5428
rou,2011,1564.45768
rou,2012,1557.98983
rou,2013,1302.29928
rou,2014,1315.62934
rou,2015,1228.02242
rou,2016,1243.6448
rou,2017,1269.68736
rou,2018,1319.85107
rou,2019,1325.3032
rou,2020,1371.57454
rou,2021,1375.07007
rou,2022,1223.89962
rou,2023,
srb,1990,
srb,1991,
srb,1992,
srb,1993,
srb,1994,
srb,1995,
srb,1996,
srb,1997,
srb,1998,
srb,1999,
srb,2000,
srb,2001,
srb,2002,
srb,2003,
srb,2004,
srb,2005,
srb,2006,
srb,2007,
srb,2008,
srb,2009,
srb,2010,
srb,2011,
srb,2012,
srb,2013,
srb,2014,
srb,2015,
srb,2016,
srb,2017,
srb,2018,
srb,2019,
srb,2020,
srb,2021,
srb,2022,
srb,2023,
svk,1990,
svk,1991,
svk,1992,
svk,1993,
svk,1994,
svk,1995,
svk,1996,
svk,1997,
svk,1998,
svk,1999,
svk,2000,
svk,2001,
svk,2002,
svk,2003,
svk,2004,
svk,2005,
svk,2006,
svk,2007,
svk,2008,3752.1266
svk,2009,3398.63882
svk,2010,3459.54639
svk,2011,3530.66815
svk,2012,3211.67793
svk,2013,3150.11198
