country,year,ae_ton_admin
ita,2005,
ita,2006,
ita,2007,
ita,2008,1518.32109
ita,2009,1445.81135
ita,2010,1358.32309
ita,2011,1273.32884
ita,2012,1209.59799
ita,2013,1181.05713
ita,2014,1123.90743
ita,2015,1155.0181
ita,2016,1142.90492
ita,2017,1139.85752
ita,2018,1229.78556
ita,2019,1232.86227
ita,2020,1051.90499
ita,2021,1343.25002
ita,2022,1299.85053
ita,2023,
lva,1990,
lva,1991,
lva,1992,
lva,1993,
lva,1994,
lva,1995,
lva,1996,
lva,1997,
lva,1998,
lva,1999,
lva,2000,
lva,2001,
lva,2002,
lva,2003,
lva,2004,
lva,2005,
lva,2006,
lva,2007,
lva,2008,87.04004
lva,2009,66.45452
lva,2010,56.85175
lva,2011,80.56484
lva,2012,73.58586
lva,2013,70.23559
lva,2014,61.29601
lva,2015,65.65648
lva,2016,59.13661
lva,2017,49.75889
lva,2018,52.75789
lva,2019,61.06715
lva,2020,50.57833
lva,2021,53.59735
lva,2022,52.45465
lva,2023,
ltu,1990,
ltu,1991,
ltu,1992,
ltu,1993,
ltu,1994,
ltu,1995,
ltu,1996,
ltu,1997,
ltu,1998,
ltu,1999,
ltu,2000,
ltu,2001,
ltu,2002,
ltu,2003,
ltu,2004,
ltu,2005,
ltu,2006,
ltu,2007,
ltu,2008,22.86677
ltu,2009,21.77145
ltu,2010,24.56117
ltu,2011,26.04173
ltu,2012,19.57267
ltu,2013,25.56136
ltu,2014,31.95536
ltu,2015,61.86006
ltu,2016,81.69564
ltu,2017,87.91369
ltu,2018,110.66742
ltu,2019,114.61135
ltu,2020,76.98096
ltu,2021,34.96007
ltu,2022,34.41561
ltu,2023,
lux,1990,
lux,1991,
lux,1992,
lux,1993,
lux,1994,
lux,1995,
lux,1996,
lux,1997,
lux,1998,
lux,1999,
lux,2000,
lux,2001,
lux,2002,
lux,2003,
lux,2004,
lux,2005,
lux,2006,
lux,2007,
lux,2008,22.17023
lux,2009,21.74673
lux,2010,32.32281
lux,2011,36.75971
lux,2012,37.17105
lux,2013,38.0078
lux,2014,57.32584
lux,2015,52.3195
lux,2016,54.56385
lux,2017,42.15767
lux,2018,40.8405
lux,2019,64.1184
lux,2020,68.98995
